pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-01,96.5,-1.69,6.3,"Canzone, Dominic",686527,693645,field_out,hit_into_play,,,,,11,Dominic Canzone flies out to left fielder Cody Bellinger.,R,L,R,SEA,NYY,X,7.0,fly_ball,1,2,2026,-0.52,1.6,-0.3869352597500175,3.4615539645841498,,,,1,5,Bot,59.85,78.21,,,,,4.659596271551967,-140.35600811791542,-5.5120253005689355,-7.973270245168819,32.49858328060224,-9.933476933406324,3.208595801,1.619291339,340.0,97.4,39.0,97.0,2421,6.7,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.85,0.077,0.139,0.0,1.0,0.0,0.0,3.0,34,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,212,-0.017,-0.18,70.4,6.3,0.271,0.18,97.4,-1,-1,0.374,0.374,25,28,25,29,2,1,5.0,2.0,,,0.85,0.52,-0.52,44.3,11.61465455551702,14.703790639657724,21.686999552751107,42.57245975835312,29.686394083599588
FC,2026-04-01,92.7,-1.74,6.3,"Canzone, Dominic",686527,693645,,foul,,,,,9,Foul,R,L,R,SEA,NYY,S,,,1,1,2026,0.51,0.99,0.6223983846010392,2.0047116068403117,,,,1,5,Bot,,,,,,,4.869339375682525,-134.91558076066406,-7.241545297647797,5.34177867547337,26.34946674701417,-18.80144398568488,3.208595801,1.619291339,4.0,72.3,-32.0,93.9,2462,6.8,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.74,,,,,,,,34,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,178,-0.007,-0.064,75.6,7.3,,0.064,88.0,-1,-1,0.381,0.381,25,28,25,29,2,1,5.0,2.0,,,1.64,-0.51,0.51,44.1,16.95054048487563,-5.3021388833478955,31.75290336068208,31.731529548922516,39.7076785505177
FC,2026-04-01,94.0,-1.82,6.24,"Canzone, Dominic",686527,693645,,foul,,,,,12,Foul,R,L,R,SEA,NYY,S,,,1,0,2026,0.51,1.34,0.9187157577620833,2.906310886471024,,,,1,5,Bot,,,,,,,5.897229234366603,-136.71133128252433,-5.793998384065729,5.155124743647761,29.213870867110796,-14.244656621636908,3.208595801,1.619291339,243.0,75.3,33.0,94.7,2590,6.7,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.85,,,,,,,,34,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,176,-0.005,-0.049,78.8,7.6,,0.049,88.0,-1,-1,0.386,0.386,25,28,25,29,2,1,5.0,2.0,,,1.23,-0.51,0.51,43.7,18.18156479834778,-19.32930866665843,32.098144462183065,26.53439264290561,41.17349395861219
FF,2026-04-01,95.5,-1.57,6.32,"Canzone, Dominic",686527,693645,,ball,,,,,11,Ball,R,L,R,SEA,NYY,B,,,0,0,2026,-0.47,1.64,-0.7836507389507281,4.09720442336528,,,,1,5,Bot,,,,,,,3.14484830156386,-138.99450733655198,-3.804820234743417,-6.866521447758795,32.93200450802016,-10.29794233034814,3.208595801,1.619291339,,,,96.0,2461,6.7,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.81,,,,,,,,34,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,208,0.004,0.039,,,,-0.039,,-1,-1,0.382,0.382,25,28,25,29,2,1,5.0,2.0,,,0.87,0.47,-0.47,45.1,,,,,
CU,2026-04-01,76.0,-1.91,5.79,"Canzone, Dominic",686527,670280,single,hit_into_play,,,,,14,Dominic Canzone singles on a line drive to right fielder Aaron Judge. Randy Arozarena scores.,R,L,R,SEA,NYY,X,9.0,line_drive,1,1,2026,0.43,-0.68,0.3135739384787908,0.9197163708579632,,668227.0,,2,9,Bot,172.52,141.47,,,,,3.790526980649769,-110.60449758244016,-1.5033161044184675,2.6878619794470104,23.013553154170065,-37.64666862003031,3.208595801,1.619291339,185.0,81.9,15.0,75.2,2446,6.1,823157,669224,502671,665862,641857,676609,641355,663757,592450,54.41,0.934,0.883,0.9,1.0,1.0,0.0,4.0,69,3,Curveball,2,5,2,5,5,3,3,5,Standard,Standard,47,0.03,0.698,65.2,8.0,1.071,-0.698,88.0,-3,-3,0.016,0.016,31,28,32,29,1,3,4.0,2.0,,,4.68,-0.43,0.43,35.3,13.309922612224913,-18.184707649141295,34.86722957705406,37.06265219114594,50.53396014602578
CU,2026-04-01,76.4,-1.89,5.81,"Canzone, Dominic",686527,670280,,ball,,,,,13,Ball,R,L,R,SEA,NYY,B,,,0,1,2026,0.52,-0.71,-0.9879363786554674,1.9076460695557884,,668227.0,,2,9,Bot,,,,,,,0.906782508347413,-111.14568771511428,0.4218040259727595,4.1093959359759,22.483763811062044,-38.33018139483288,3.208595801,1.619291339,,,,75.6,2437,6.0,823157,669224,502671,665862,641857,676609,641355,663757,592450,54.5,,,,,,,,69,2,Curveball,2,5,2,5,5,2,2,5,Infield shade,Standard,48,0.0,0.015,,,,-0.015,,-3,-3,0.016,0.016,31,28,32,29,1,3,4.0,2.0,,,4.66,-0.52,0.52,33.4,,,,,
FS,2026-04-01,90.3,-1.84,5.99,"Canzone, Dominic",686527,670280,,called_strike,,,,,7,Called Strike,R,L,R,SEA,NYY,S,,,0,0,2026,-0.75,0.32,-0.5034924634682456,1.5847749431014484,,668227.0,,2,9,Bot,,,,,,,4.911439580153742,-131.48175299614985,-5.50246070384676,-9.688133044336205,26.71749253030093,-27.54531150448663,3.208595801,1.619291339,,,,90.7,1749,6.4,823157,669224,502671,665862,641857,676609,641355,663757,592450,54.07,,,,,,,,69,1,Split-Finger,2,5,2,5,5,2,2,5,Standard,Standard,219,0.0,-0.04,,,,0.04,,-3,-3,0.016,0.016,31,28,32,29,1,3,4.0,2.0,,,2.46,0.75,-0.75,39.6,,,,,
FF,2026-04-01,96.8,-1.84,6.34,"Canzone, Dominic",686527,693645,strikeout,swinging_strike,,,,,11,Dominic Canzone strikes out swinging.,R,L,R,SEA,NYY,S,2.0,,1,2,2026,-0.54,1.5,-0.9300470964522664,3.972470109820339,,,670042.0,1,2,Bot,,,,,,,3.697064995110458,-140.8558718133158,-4.114494204346106,-8.050193912008655,32.6639872502426,-11.42628767524561,3.208595801,1.619291339,,,,97.5,2433,6.8,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.75,,0.0,0.0,1.0,0.0,0.0,,15,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,210,-0.023,-0.178,52.7,5.4,,0.178,,-1,-1,0.436,0.436,25,28,25,29,1,0,5.0,2.0,,,0.93,0.54,-0.54,45.0,-1.1810762329377065,45.02324623153798,20.45887308460466,47.79332447198147,-0.865642058496582
FF,2026-04-01,96.7,-1.61,6.32,"Canzone, Dominic",686527,693645,,swinging_strike,,,,,11,Swinging Strike,R,L,R,SEA,NYY,S,,,1,1,2026,-0.55,1.5,-0.6146275093418667,4.029574542081628,,,670042.0,1,2,Bot,,,,,,,3.909229580530845,-140.6820984919289,-3.853851243472999,-8.158003766363198,33.48888181223463,-11.668835170653026,3.208595801,1.619291339,,,,97.3,2461,6.7,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.77,,,,,,,,15,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,208,-0.008,-0.056,69.2,6.2,,0.056,,-1,-1,0.444,0.444,25,28,25,29,1,0,5.0,2.0,,,0.95,0.55,-0.55,47.2,15.37637301048754,29.084263323698053,19.34974830334748,44.22383537794344,22.917433618580677
FC,2026-04-01,94.4,-1.8,6.21,"Canzone, Dominic",686527,693645,,called_strike,,,,,9,Called Strike,R,L,R,SEA,NYY,S,,,1,0,2026,-0.09,1.01,0.426775534395717,1.587787722436892,,,670042.0,1,2,Bot,,,,,,,5.944375304582516,-137.21475009340833,-8.448421176104517,-2.3173862095371542,28.402910404363336,-17.76830540650368,3.208595801,1.619291339,,,,95.4,2396,6.8,823157,669224,502671,665862,642708,676609,641355,663757,592450,53.74,,,,,,,,15,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,190,-0.006,-0.056,,,,0.056,,-1,-1,0.45,0.45,25,28,25,29,1,0,5.0,2.0,,,1.54,0.09,-0.09,44.1,,,,,
