pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-09-28,82.3,-2.71,4.9,"Ortiz, Joey",687401,605130,field_out,hit_into_play,,,,,14.0,Joey Ortiz pops out to first baseman Spencer Steer in foul territory.,R,R,R,MIL,CIN,X,3.0,popup,2,2,2025,0.91,0.92,1.13621321743697,2.1758644885416314,,702332.0,,1,7,Bot,151.31,197.29,,,,,7.032116625549629,-119.65016048605143,-1.4447253104688969,7.386019841932501,22.974279771883396,-23.257717524864155,3.38,1.55,62.0,60.8,75.0,83.2,2527.0,7.0,776144,663886,668715,680574,663647,682829,666158,670770,682622,53.55,0.005,0.006,0.0,1.0,0.0,0.0,3.0,62,5,Sweeper,4,2,4,2,2,4,4,2,Standard,Standard,79.0,-0.014,-0.213,60.7,8.1,0.007,0.213,88.0,2,2,0.894,0.894,32,26,33,27,1,1,5.0,1.0,2.0,6,2.45,-0.91,-0.91,18.6,8.331158946000272,-7.522375857101206,22.85220400416053,51.145160835159714,34.56367139708543
SI,2025-09-28,91.3,-2.2,5.23,"Ortiz, Joey",687401,605130,,foul,,,,,11.0,Foul,R,R,R,MIL,CIN,S,,,2,1,2025,-1.32,0.76,-1.183725767610538,2.546871467596263,,702332.0,,1,7,Bot,,,,,,,5.475098114257493,-132.76057751621957,-2.487831586240077,-16.75660583902536,30.55155093670621,-22.886154749683858,3.38,1.55,,,,92.0,2252.0,6.9,776144,663886,668715,680574,663647,682829,666158,670770,682622,53.55,,,,,,,,62,4,Sinker,4,2,4,2,2,4,4,2,Standard,Standard,220.0,-0.004,-0.065,74.9,7.4,,0.065,,2,2,0.898,0.898,32,26,33,27,1,1,5.0,1.0,2.0,6,2.0,1.32,1.32,25.8,0.9813311877347776,-6.694552210969963,31.166718228865697,20.526148124335418,28.86798209587524
SI,2025-09-28,91.2,-2.42,5.08,"Ortiz, Joey",687401,605130,,ball,,,,,13.0,Ball,R,R,R,MIL,CIN,B,,,1,1,2025,-1.32,0.61,-1.1127813076972302,0.9808985132748188,,702332.0,,1,7,Bot,,,,,,,6.202946571531426,-132.669430863592,-5.7826562299116935,-16.917944809706373,28.456521265599935,-23.967317199506443,3.20994273408761,1.40567467652669,,,,92.2,2257.0,6.9,776144,663886,668715,680574,663647,682829,666158,670770,682622,53.6,,,,,,,,62,3,Sinker,4,2,4,2,2,4,4,2,Standard,Standard,221.0,0.002,0.03,,,,-0.03,,2,2,0.896,0.896,32,26,33,27,1,1,5.0,1.0,2.0,6,2.14,1.32,1.32,23.7,,,,,
ST,2025-09-28,81.2,-2.81,4.81,"Ortiz, Joey",687401,605130,,ball,,,,,8.0,Ball,R,R,R,MIL,CIN,B,,,0,1,2025,1.16,0.77,0.0242007564698788,1.4661838007104344,,702332.0,,1,7,Bot,,,,,,,4.157218531189212,-118.18542240033112,-2.345941303028502,10.073637938405955,23.026068556156325,-24.712778254494644,3.21876159414487,1.45888275895464,,,,82.2,2467.0,7.0,776144,663886,668715,680574,663647,682829,666158,670770,682622,53.51,,,,,,,,62,2,Sweeper,4,2,4,2,2,4,4,2,Standard,Standard,100.0,0.002,0.025,,,,-0.025,,2,2,0.894,0.894,32,26,33,27,1,1,5.0,1.0,2.0,6,2.69,-1.16,-1.16,16.7,,,,,
ST,2025-09-28,81.2,-2.78,4.93,"Ortiz, Joey",687401,605130,,called_strike,,,,,1.0,Called Strike,R,R,R,MIL,CIN,S,,,0,0,2025,1.07,0.73,-0.4319200253361525,2.6640076412957883,,702332.0,,1,7,Bot,,,,,,,3.225511472160081,-118.21065957369704,0.1929852861624401,9.345063693939814,24.404325727911186,-25.63404341388878,3.22579805981858,1.37455184466823,,,,81.6,2349.0,6.7,776144,663886,668715,680574,663647,682829,666158,670770,682622,53.8,,,,,,,,62,1,Sweeper,4,2,4,2,2,4,4,2,Standard,Standard,97.0,-0.003,-0.038,,,,0.038,,2,2,0.897,0.897,32,26,33,27,1,1,5.0,1.0,2.0,6,2.75,-1.07,-1.07,16.9,,,,,
SL,2025-09-28,92.2,-1.71,6.3,"Ortiz, Joey",687401,695505,strikeout,swinging_strike,,,,,14.0,Joey Ortiz strikes out swinging.,R,R,R,MIL,CIN,S,2.0,,1,2,2025,0.69,0.12,1.0997092297207929,1.1770257637062271,,,686555.0,1,5,Bot,,,,,,,5.636327652331503,-133.93363473515825,-7.380828896218675,6.90919194945346,31.353912993535214,-29.220803492631727,3.38,1.55,,,,91.9,2925.0,6.4,776144,624431,668715,680574,663647,682829,666158,670770,682622,54.12,,0.0,0.0,1.0,0.0,0.0,,46,4,Slider,4,2,4,2,2,4,4,2,Standard,Standard,67.0,-0.013,-0.178,52.4,7.9,,0.178,,2,2,0.807,0.807,22,26,22,27,1,0,4.0,1.0,3.0,6,2.59,-0.69,-0.69,58.5,-0.0508643068049865,-7.204064107013987,31.718159921783432,49.713194997469685,29.45094737041465
FF,2025-09-28,98.9,-1.37,6.48,"Ortiz, Joey",687401,695505,,swinging_strike,,,,,11.0,Swinging Strike,R,R,R,MIL,CIN,S,,,1,1,2025,-0.33,1.67,-0.4366186599360042,3.620475903775252,,,686555.0,1,5,Bot,,,,,,,3.335118605141151,-143.8110143370938,-6.2015600673167315,-5.438134027622967,36.746515074558566,-7.876055849816275,3.38,1.55,,,,98.7,2645.0,6.4,776144,624431,668715,680574,663647,682829,666158,670770,682622,54.08,,,,,,,,46,3,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,190.0,-0.005,-0.056,66.9,5.8,,0.056,,2,2,0.812,0.812,22,26,22,27,1,0,4.0,1.0,3.0,6,0.69,0.33,0.33,58.2,-10.749596734318525,18.175896053182285,28.046230701083076,30.482617831815215,16.675964311135388
SL,2025-09-28,92.0,-1.79,6.26,"Ortiz, Joey",687401,695505,,swinging_strike,,,,,14.0,Swinging Strike,R,R,R,MIL,CIN,S,,,1,0,2025,0.25,0.72,0.6291320018568419,0.922947389088125,,,686555.0,1,5,Bot,,,,,,,5.6131094491124145,-133.72147031759027,-9.282258884139626,1.747787548821612,28.681829121024425,-21.69199574953752,3.38,1.55,,,,92.2,2773.0,6.4,776144,624431,668715,680574,663647,682829,666158,670770,682622,54.06,,,,,,,,46,2,Slider,4,2,4,2,2,4,4,2,Standard,Standard,117.0,-0.003,-0.056,69.1,8.7,,0.056,,2,2,0.815,0.815,22,26,22,27,1,0,4.0,1.0,3.0,6,1.98,-0.25,-0.25,47.5,12.697829631959282,-18.62280696580205,36.761193700634,43.61263396700076,37.948884928911646
FF,2025-09-28,99.2,-1.41,6.43,"Ortiz, Joey",687401,695505,,ball,,,,,14.0,Ball,R,R,R,MIL,CIN,B,,,0,0,2025,-0.43,1.59,0.5248859070326611,1.1663998750055442,,,686555.0,1,5,Bot,,,,,,,6.327836349694318,-143.80667505293627,-12.671252583739962,-7.536978764006047,34.91399013550037,-7.281660088121126,3.27327139644227,1.48078563970706,,,,99.1,2626.0,6.6,776144,624431,668715,680574,663647,682829,666158,670770,682622,53.93,,,,,,,,46,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,199.0,0.002,0.035,,,,-0.035,,2,2,0.813,0.813,22,26,22,27,1,0,4.0,1.0,3.0,6,0.75,0.43,0.43,55.5,,,,,
CH,2025-09-27,86.6,2.59,5.93,"Ortiz, Joey",687401,671096,strikeout,called_strike,,,,,9.0,Joey Ortiz called out on strikes.,R,R,L,MIL,CIN,S,2.0,,1,2,2025,1.19,0.63,0.3565373863997627,1.7750807843811622,,,,1,5,Bot,,,,,,,-7.78492971576558,-125.89267397204166,-4.985554324003597,14.298154170510104,25.98717923262009,-24.682258320992663,3.38999934839291,1.58507852101105,,,,86.6,1932.0,6.4,776153,663886,701398,680574,663647,682829,668715,670770,682622,54.13,,0.0,0.0,1.0,0.0,0.0,,47,4,Changeup,2,6,2,6,6,2,2,6,Standard,Standard,130.0,-0.009,-0.18,,,,0.18,,-4,-4,0.098,0.098,26,26,26,27,2,1,6.0,1.0,,1,2.42,1.19,-1.19,45.5,,,,,
