pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-01,95.2,-2.3,6.16,"Crawford, Justin",702222,676917,double,hit_into_play,,,,,8,Justin Crawford doubles (1) on a fly ball to left fielder James Wood. J.T. Realmuto to 3rd.,R,L,R,PHI,WSH,X,7.0,fly_ball,1,0,2026,-0.38,1.31,-0.0929236363186499,2.0528005291439007,,,592663.0,2,4,Bot,44.93,93.37,,,,,6.586955864959807,-138.31386821599418,-7.845801702540367,-6.4114216825201025,31.112710362299943,-13.813800742948862,3.278805774,1.654724409,329.0,94.6,26.0,95.1,2332,6.3,823483,686452,678554,683083,691781,682928,695578,696285,686894,54.17,0.211,0.288,1.25,1.0,1.0,1.0,5.0,36,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,213,0.04,0.882,72.5,6.8,0.48,-0.882,94.6,0,0,0.53,0.53,27,22,28,22,2,1,6.0,1.0,,,1.22,0.38,-0.38,37.7,-0.9761022231186152,16.700527318880464,33.9030210374774,42.021239358294864,21.66934687505948
KC,2026-04-01,83.9,-2.34,6.22,"Crawford, Justin",702222,676917,,ball,,,,,13,Ball,R,L,R,PHI,WSH,B,,,0,0,2026,0.56,-1.03,-1.1687958351251797,1.9253259293622509,,,592663.0,2,4,Bot,,,,,,,1.5504893567127522,-122.13086194099202,-1.1733920590227451,5.2251097915116045,25.948699343155187,-42.39720257621103,3.278805774,1.654724409,,,,83.9,2258,6.5,823483,686452,678554,683083,691781,682928,695578,696285,686894,54.05,,,,,,,,36,1,Knuckle Curve,1,1,1,1,1,1,1,1,Standard,Standard,33,0.002,0.035,,,,-0.035,,0,0,0.528,0.528,27,22,28,22,2,1,6.0,1.0,,,4.29,-0.56,0.56,39.5,,,,,
KC,2026-04-01,83.6,-2.37,6.34,"Crawford, Justin",702222,676917,single,hit_into_play,,,,,5,Justin Crawford singles on a ground ball to shortstop CJ Abrams. Brandon Marsh to 3rd. J.T. Realmuto to 2nd.,R,L,R,PHI,WSH,X,6.0,ground_ball,2,2,2026,0.57,-1.06,-0.1904594794530999,2.350469061418241,,669016.0,592663.0,2,2,Bot,118.56,164.2,,,,,3.833085454619516,-121.73762668285282,-0.4160949881796945,4.923832543165258,23.890627665688942,-42.86108968241231,3.278805774,1.654724409,1.0,76.1,-61.0,84.2,2264,6.6,823483,686452,678554,683083,691781,682928,695578,696285,686894,53.87,0.326,0.293,0.9,1.0,1.0,0.0,2.0,19,6,Knuckle Curve,1,1,1,1,1,1,1,1,Standard,Strategic,33,0.038,0.621,66.6,6.4,0.327,-0.621,88.0,0,0,0.539,0.539,27,22,28,22,1,0,6.0,1.0,,,4.32,-0.57,0.57,46.1,-7.08537659694179,28.385701568620465,28.49764061801956,43.6212056403502,10.2948503115268
ST,2026-04-01,85.8,-2.75,6.11,"Crawford, Justin",702222,676917,,foul,,,,,9,Foul,R,L,R,PHI,WSH,S,,,2,2,2026,0.87,-0.42,0.3528871875917421,1.972308106597409,,669016.0,592663.0,2,2,Bot,,,,,,,5.496194354760974,-124.88847724407178,-2.408827820539546,7.934139436829117,25.625479664983377,-36.29027983791156,3.278805774,1.654724409,4.0,66.9,-29.0,86.2,2325,6.6,823483,686452,678554,683083,691781,682928,695578,696285,686894,53.93,,,,,,,,19,5,Sweeper,1,1,1,1,1,1,1,1,Standard,Strategic,35,0.0,0.0,74.0,7.8,,0.0,88.0,0,0,0.539,0.539,27,22,28,22,1,0,6.0,1.0,,,3.52,-0.87,0.87,38.6,17.21465100637416,-17.244246551742293,26.380385134389225,37.71235873487617,40.036325887996895
KC,2026-04-01,85.3,-2.25,6.32,"Crawford, Justin",702222,676917,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,PHI,WSH,B,,,1,2,2026,0.61,-0.99,1.5206119518622148,0.3290924848711523,,669016.0,592663.0,2,2,Bot,,,,,,,7.523409703649345,-123.94890452204562,-5.400596908846522,4.667744001243806,26.626275264947484,-41.40732416357194,3.278805774,1.654724409,,,,85.3,2211,6.5,823483,686452,678554,683083,691781,682928,695578,696285,686894,53.98,,,,,,,,19,4,Knuckle Curve,1,1,1,1,1,1,1,1,Standard,Strategic,28,0.007,0.012,,,,-0.012,,0,0,0.532,0.532,27,22,28,22,1,0,6.0,1.0,,,4.16,-0.61,0.61,47.1,,,,,
SI,2026-04-01,96.5,-2.87,6.16,"Crawford, Justin",702222,676917,,foul,,,,,1,Foul,R,L,R,PHI,WSH,S,,,1,1,2026,-1.32,0.68,-0.8255859293226255,2.812685870811882,,669016.0,592663.0,2,2,Bot,,,,,,,8.417417959392345,-140.2709635341364,-4.701358486403203,-19.296724638611035,29.921498823551985,-22.360247443547916,3.278805774,1.654724409,40.0,73.5,0.0,96.8,2305,6.4,823483,686452,678554,683083,691781,682928,695578,696285,686894,54.13,,,,,,,,19,3,Sinker,1,1,1,1,1,1,1,1,Standard,Strategic,215,-0.012,-0.063,65.6,6.5,,0.063,88.0,0,0,0.544,0.544,27,22,28,22,1,0,6.0,1.0,,,1.77,1.32,-1.32,37.2,-0.3691208314656725,30.8399885029396,23.12699540965827,52.27637851775481,8.395478341272835
FF,2026-04-01,97.4,-2.66,6.16,"Crawford, Justin",702222,676917,,ball,,,,,12,Ball,R,L,R,PHI,WSH,B,,,0,1,2026,-0.47,1.18,1.264727551595869,3.054559869191563,,669016.0,592663.0,2,2,Bot,,,,,,,11.474683907874926,-141.39914774592597,-5.363571092612716,-8.764384725406112,30.21115199726866,-15.27013646781901,3.278805774,1.654724409,,,,97.5,2383,6.3,823483,686452,678554,683083,691781,682928,695578,696285,686894,54.18,,,,,,,,19,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Strategic,215,0.005,0.018,,,,-0.018,,0,0,0.539,0.539,27,22,28,22,1,0,6.0,1.0,,,1.22,0.47,-0.47,37.7,,,,,
FF,2026-04-01,97.4,-2.56,6.26,"Crawford, Justin",702222,676917,,called_strike,,,,,1,Called Strike,R,L,R,PHI,WSH,S,,,0,0,2026,-0.36,1.41,-0.4748555838337126,2.827230454907708,,669016.0,592663.0,2,2,Bot,,,,,,,6.370858332853215,-141.6487824643586,-6.799619803852436,-6.238487914409818,31.108056300049164,-11.844351283282018,3.278805774,1.654724409,,,,97.8,2344,6.4,823483,686452,678554,683083,691781,682928,695578,696285,686894,54.06,,,,,,,,19,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Strategic,210,-0.007,-0.047,,,,0.047,,0,0,0.546,0.546,27,22,28,22,1,0,6.0,1.0,,,0.99,0.36,-0.36,40.6,,,,,
FC,2026-04-01,92.4,-2.39,5.32,"Crawford, Justin",702222,669371,single,hit_into_play,,,,,9,Justin Crawford singles on a sharp ground ball to right fielder Joey Wiemer. Brandon Marsh scores. J.T. Realmuto to 2nd.,R,L,R,PHI,WSH,X,9.0,ground_ball,0,0,2026,-0.36,0.76,0.3026224970998643,1.6830573072147872,669016.0,,592663.0,0,10,Bot,168.76,111.46,,,,,7.601629270736844,-134.40404752515394,-5.025301643838683,-5.849373693077691,24.427414256114112,-22.055247807286708,3.278805774,1.654724409,69.0,106.9,3.0,93.4,2477,6.5,823483,686452,671277,683083,691781,682928,695578,696285,686894,53.96,0.551,0.507,0.9,1.0,1.0,0.0,4.0,88,1,Cutter,5,5,5,5,5,6,6,5,Strategic,Standard,219,0.073,0.429,74.7,7.3,0.616,-0.429,106.9,0,0,0.927,0.927,26,22,27,22,1,4,2.0,1.0,,,1.88,0.36,-0.36,19.6,4.606472995973957,3.926356816476132,35.892952858281824,38.32793248568024,26.06794678364548
FF,2026-04-01,98.9,-1.2,5.98,"Crawford, Justin",702222,690925,field_out,hit_into_play,,,,,5,"Justin Crawford grounds out sharply, third baseman Brady House to first baseman Luis García Jr.",R,L,R,PHI,WSH,X,5.0,ground_ball,3,2,2026,-0.48,1.37,-0.1067447378121847,2.53031440195371,,,,0,9,Bot,103.03,145.99,,,,,4.059297858312978,-143.89031237287256,-6.997685355556224,-7.599511440725361,31.06140932397997,-11.756159932781337,3.278805774,1.654724409,7.0,100.7,-20.0,98.5,2430,5.9,823483,686452,671277,683083,691781,682928,695578,696285,686894,54.57,0.177,0.159,0.0,1.0,0.0,0.0,2.0,77,6,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,198,-0.063,-0.345,65.7,5.8,0.181,0.345,100.7,-2,-2,0.11,0.11,27,22,28,22,1,3,3.0,1.0,,,0.95,0.48,-0.48,50.7,-6.307509034252089,32.14163838985862,29.120097956046205,42.729270408631855,13.329320428937052
