pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,88.8,1.26,5.93,"Clement, Ernie",676391,693855,single,hit_into_play,,,,,2.0,Ernie Clement singles on a line drive to left fielder Richie Palacios.,R,R,L,TOR,TB,X,7.0,line_drive,1,0,2025,0.43,1.29,0.1180465904615973,3.0378236355719395,,,,0,4,Bot,64.75,108.58,,,,,-3.675808379438571,-129.2911733359493,-3.753905198854596,5.589870552334778,25.927504757088553,-17.10603753854658,3.37,1.55,227.0,81.5,19.0,88.6,2102.0,6.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.45,0.927,0.885,0.9,1.0,1.0,0.0,4.0,38,2,4-Seam Fastball,5,4,5,4,4,5,5,4,Infield shade,Standard,152.0,0.03,0.396,72.0,6.9,1.081,-0.396,88.0,1,1,0.688,0.688,26,29,27,29,2,1,5.0,1.0,,6,1.59,0.43,-0.43,45.7,17.760580559598846,-13.157622695484642,23.31764515795701,38.258058915948,34.994774874226195
FC,2025-09-28,84.6,1.48,5.76,"Clement, Ernie",676391,693855,,ball,,,,,11.0,Ball,R,R,L,TOR,TB,B,,,0,0,2025,-0.14,0.68,-0.2674262093017303,3.962380097569501,,,,0,4,Bot,,,,,,,-3.785815382175621,-123.26794801358125,0.7713219693505975,-0.7082716560020268,23.129587658198457,-25.61192052988239,3.25163758144623,1.49933148247689,,,,84.7,2072.0,6.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.32,,,,,,,,38,1,Cutter,5,4,5,4,4,5,5,4,Infield shade,Standard,157.0,0.003,0.041,,,,-0.041,,1,1,0.685,0.685,26,29,27,29,2,1,5.0,1.0,,6,2.49,-0.14,0.14,43.9,,,,,
FF,2025-09-28,92.6,1.25,6.03,"Clement, Ernie",676391,693855,strikeout,swinging_strike,,,,,12.0,Ernie Clement strikes out swinging.,R,R,L,TOR,TB,S,2.0,,0,2,2025,0.26,1.47,0.6883145482040378,4.117141154726726,,,,2,1,Bot,,,,,,,-2.007314228431063,-134.78776286926234,-2.2528383463809787,3.656413056012052,31.11115270758568,-13.984817071651197,3.37,1.55,,,,91.9,2207.0,6.0,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.48,,0.0,0.0,1.0,0.0,0.0,,12,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,155.0,-0.003,-0.16,62.3,6.2,,0.16,,4,4,0.845,0.845,26,29,27,29,1,0,5.0,1.0,,6,1.2,0.26,-0.26,52.4,3.420690481512245,12.96292945118659,10.353476725060286,44.80276627455913,18.44371847651375
CH,2025-09-28,83.7,1.37,5.96,"Clement, Ernie",676391,693855,,swinging_strike,,,,,3.0,Swinging Strike,R,R,L,TOR,TB,S,,,0,1,2025,1.36,0.58,0.7580093271789972,2.9072509292769104,,,,2,1,Bot,,,,,,,-4.058001075049752,-121.94608989053062,-1.7757241117303528,14.332955365190186,23.552825751138272,-26.270051030906927,3.37,1.55,,,,83.2,1674.0,5.9,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.65,,,,,,,,12,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,121.0,-0.001,-0.057,64.9,7.6,,0.057,,4,4,0.846,0.846,26,29,27,29,1,0,5.0,1.0,,6,2.66,1.36,-1.36,48.4,19.773299611492007,-26.421324715051984,20.16482608359621,45.85052774535126,42.46605988638224
FC,2025-09-28,88.4,1.62,5.76,"Clement, Ernie",676391,693855,,called_strike,,,,,6.0,Called Strike,R,R,L,TOR,TB,S,,,0,0,2025,-0.04,0.7,0.707319069822143,2.128629486524425,,,,2,1,Bot,,,,,,,-2.129599452773021,-128.78627280576129,-4.292950428344748,-0.1120207902649329,23.615023717212544,-23.684391316072094,3.3470497554278,1.54999959860781,,,,88.5,2160.0,6.0,776145,676439,676044,656484,691406,700246,680700,663968,666139,54.47,,,,,,,,12,1,Cutter,5,1,5,1,1,5,5,1,Standard,Standard,157.0,-0.001,-0.043,,,,0.043,,4,4,0.847,0.847,26,29,27,29,1,0,5.0,1.0,,6,2.18,-0.04,0.04,45.3,,,,,
SI,2025-09-28,91.1,-1.52,3.74,"Clement, Ernie",676391,687330,walk,ball,,,,,14.0,Ernie Clement walks.,R,R,R,TOR,TB,B,,,3,2,2025,-1.32,-0.45,1.7786084760222056,1.3800162985295858,,,,2,7,Bot,,,,,,,11.288473890728742,-132.1938867062261,1.0282597178332633,-17.904289457924,28.663744994373904,-37.90996345994737,3.2343346390418,1.52694182202054,,,,92.4,1949.0,7.3,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.25,,0.691497,0.7,1.0,0.0,0.0,,68,6,Sinker,10,4,10,4,4,10,10,4,Standard,Standard,253.0,0.0,0.259,,,,-0.259,,6,6,0.992,0.992,27,29,28,29,1,3,3.0,1.0,,6,3.21,1.32,1.32,2.0,,,,,
SI,2025-09-28,90.8,-1.73,3.73,"Clement, Ernie",676391,687330,,foul,,,,,7.0,Foul,R,R,R,TOR,TB,S,,,3,1,2025,-1.26,-0.57,-0.6296888944670573,1.947306978510475,,,,2,7,Bot,,,,,,,5.545356330293529,-132.17533510050032,2.704947689826396,-15.944728333871138,27.5569219563651,-39.614977578755905,3.37,1.55,,,,92.2,1971.0,7.1,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.43,,,,,,,,68,5,Sinker,10,4,10,4,4,10,10,4,Standard,Standard,251.0,0.0,-0.086,68.9,7.2,,0.086,,6,6,0.992,0.992,27,29,28,29,1,3,3.0,1.0,,6,3.32,1.26,1.26,-0.2,16.02993939938021,-8.883652873353256,34.75641906132336,31.4252944919197,36.86945321334578
SI,2025-09-28,90.8,-1.59,3.87,"Clement, Ernie",676391,687330,,called_strike,,,,,4.0,Called Strike,R,R,R,TOR,TB,S,,,3,0,2025,-1.5,-0.18,-0.5365708055667526,2.583770988469762,,,,2,7,Bot,,,,,,,5.9308345784470395,-132.06855956299106,3.1446046394415457,-18.77652425860818,27.830214314415095,-35.171064223491555,3.37000110584008,1.54268710751992,,,,92.2,1981.0,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.35,,,,,,,,68,4,Sinker,10,4,10,4,4,10,10,4,Standard,Standard,253.0,0.0,-0.07,,,,0.07,,6,6,0.992,0.992,27,29,28,29,1,3,3.0,1.0,,6,2.94,1.5,1.5,3.9,,,,,
SI,2025-09-28,92.4,-1.55,3.87,"Clement, Ernie",676391,687330,,ball,,,,,12.0,Ball,R,R,R,TOR,TB,B,,,2,0,2025,-1.51,0.04,1.6945537052783344,2.648782692368614,,,,2,7,Bot,,,,,,,11.720169657833685,-133.9872921295512,2.7401233256060937,-20.806251715087395,29.574907345488725,-32.576701559736215,3.18434322483879,1.47221345464551,,,,93.5,2195.0,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.33,,,,,,,,68,3,Sinker,10,4,10,4,4,10,10,4,Standard,Standard,249.0,0.0,0.121,,,,-0.121,,6,6,0.992,0.992,27,29,28,29,1,3,3.0,1.0,,6,2.65,1.51,1.51,4.3,,,,,
SI,2025-09-28,92.1,-1.59,3.78,"Clement, Ernie",676391,687330,,ball,,,,,14.0,Ball,R,R,R,TOR,TB,B,,,1,0,2025,-1.49,-0.14,1.2503904623666044,1.7144626613575196,,,,2,7,Bot,,,,,,,10.613581879047684,-133.65313884359887,0.9973229680546069,-20.19969232797744,30.10343779237709,-34.30394161317975,3.20234814174445,1.48984088378348,,,,93.3,2129.0,7.2,776145,676439,676044,656484,691406,700246,680700,663968,666139,53.27,,,,,,,,68,2,Sinker,10,4,10,4,4,10,10,4,Standard,Standard,252.0,0.0,0.065,,,,-0.065,,6,6,0.992,0.992,27,29,28,29,1,3,3.0,1.0,,6,2.85,1.49,1.49,3.8,,,,,
