pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-04-01,88.8,-4.16,4.79,"Church, Nathan",701675,642547,force_out,hit_into_play,,,,,13,"Nathan Church grounds into a force out, second baseman Marcus Semien to shortstop Francisco Lindor. Nolan Gorman to 3rd. Thomas Saggese out at 2nd. Nathan Church to 1st.",R,L,R,STL,NYM,X,4.0,ground_ball,2,2,2026,-1.36,0.1,-1.1740971669808724,1.7718356004125717,,669357.0,695336.0,0,5,Bot,149.28,146.11,,,,,10.150234311153737,-128.92080220584324,-1.3487243787202667,-17.260341765727784,25.45706608057709,-30.947666390521587,3.112934711,1.57101378,6.0,88.8,-16.0,89.3,1947,6.6,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.9,0.126,0.119,0.0,1.0,0.0,0.0,2.0,33,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,254,-0.015,-0.3,69.7,7.7,0.135,0.3,88.8,0,0,0.671,0.671,30,25,30,26,2,1,,,,,2.79,1.36,-1.36,,-3.760305815208726,-6.392758740074105,28.656246474108535,49.20418203245511,30.825955711073455
SL,2026-04-01,80.2,-3.73,5.07,"Church, Nathan",701675,642547,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,STL,NYM,B,,,1,2,2026,0.63,-0.26,0.2421686376065853,0.3230111531473056,,669357.0,695336.0,0,5,Bot,,,,,,,7.507510780166806,-116.56193057572396,-2.9772423997216872,4.179565607187535,23.806206792413516,-34.145456421970145,3.112934711,1.57101378,,,,80.5,2333,6.8,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.71,,,,,,,,33,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,68,0.01,0.058,,,,-0.058,,0,0,0.661,0.661,30,25,30,26,2,1,,,,,3.84,-0.63,0.63,,,,,,
FF,2026-04-01,94.8,-3.55,5.28,"Church, Nathan",701675,642547,,foul,,,,,11,Foul,R,L,R,STL,NYM,S,,,1,2,2026,-0.57,1.55,-0.3789225931129568,3.573956396859638,,669357.0,695336.0,0,5,Bot,,,,,,,9.54337096813493,-137.68937905942158,-2.1026837447868214,-9.60875877576923,34.27655095227539,-12.3103599214708,3.112934711,1.57101378,98.0,63.7,11.0,94.9,2484,6.7,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.78,,,,,,,,33,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,0.0,63.2,5.6,,0.0,88.0,0,0,0.661,0.661,30,25,30,26,2,1,,,,,1.02,0.57,-0.57,,-7.395073015202128,31.01626288488933,23.02242821881306,39.8392605668312,15.456555840942604
CH,2026-04-01,87.5,-4.03,4.81,"Church, Nathan",701675,642547,,foul_bunt,,,,,4,Foul Bunt,R,L,R,STL,NYM,S,,,1,1,2026,-1.7,0.24,-0.8110709178704172,2.351398985478469,,669357.0,695336.0,0,5,Bot,,,,,,,11.29342135267447,-126.7630252715835,0.0443533527661733,-20.804027267896327,29.282028311153496,-29.875807016928142,3.112934711,1.57101378,,,,87.4,1861,6.7,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.75,,,,,,,,33,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,255,-0.016,-0.065,8.8,1.6,,0.065,88.0,0,0,0.677,0.677,30,25,30,26,2,1,,,,,2.8,1.7,-1.7,,-62.73312887964951,-165.85224746935214,41.88429054374979,48.91275612720008,22.908159779455673
FF,2026-04-01,94.0,-3.58,5.16,"Church, Nathan",701675,642547,,ball,,,,,6,Ball,R,L,R,STL,NYM,B,,,0,1,2026,-0.64,1.4,0.6980170008460265,2.148824308678478,,669357.0,695336.0,0,5,Bot,,,,,,,12.438889685937763,-136.20121970422971,-4.958563209237006,-11.002084908871792,34.3566083642767,-13.833201564257934,3.112934711,1.57101378,,,,93.8,2348,6.7,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.77,,,,,,,,33,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,216,0.006,0.028,,,,-0.028,,0,0,0.671,0.671,30,25,30,26,2,1,,,,,1.23,0.64,-0.64,,,,,,
CH,2026-04-01,87.4,-3.89,4.84,"Church, Nathan",701675,642547,,foul_bunt,,,,,4,Foul Bunt,R,L,R,STL,NYM,S,,,0,0,2026,-1.72,0.18,-0.4297043599297285,2.628127371877136,,669357.0,695336.0,0,5,Bot,,,,,,,11.88364977569668,-126.48023521280638,0.8259739011319316,-21.07487263937152,30.939076777012783,-30.752713952216567,3.112934711,1.57101378,,,,87.0,1776,6.8,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.73,,,,,,,,33,1,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,258,-0.009,-0.053,14.0,1.5,,0.053,88.0,0,0,0.68,0.68,30,25,30,26,2,1,,,,,2.89,1.72,-1.72,,-78.49426827878013,-153.48368418515233,58.0015240359889,44.592449315657475,21.292761231613937
FF,2026-04-01,93.8,-3.47,5.28,"Church, Nathan",701675,642547,field_out,hit_into_play,,,,,4,Nathan Church flies out to left fielder Juan Soto.,R,L,R,STL,NYM,X,7.0,fly_ball,0,0,2026,-0.58,1.35,-0.5511227240889015,2.3177338851289564,,,,2,2,Bot,65.19,79.42,,,,,8.785888887653444,-136.2679954617549,-4.76356056462119,-9.192667605372216,30.428371054967215,-14.470041479284667,3.112934711,1.57101378,332.0,96.4,30.0,94.1,2374,6.6,823078,682626,668901,543760,666182,596019,665742,673357,621438,53.94,0.211,0.368,0.0,1.0,0.0,0.0,5.0,13,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,-0.011,-0.26,72.3,7.1,0.68,0.26,96.4,0,0,0.511,0.511,30,25,30,26,1,0,,,,,1.25,0.58,-0.58,,2.078662895496327,3.5431411912617614,34.84835695914968,39.8836993040565,25.305358489523982
FF,2026-03-31,98.0,-1.73,5.86,"Church, Nathan",701675,673540,strikeout,called_strike,,,,,7,"Nathan Church challenged (pitch result), call on the field was confirmed: Nathan Church called out on strikes.",R,L,R,STL,NYM,S,2.0,,0,2,2026,-0.47,1.27,-0.6193435087861594,1.5966468893858576,,,,2,6,Bot,,,,,,,4.086809415394919,-142.43031296009403,-8.801077335308086,-7.326968684876935,32.111346050855964,-13.124552058879637,3.112934711,1.57101378,,,,98.4,2555,6.5,823077,620443,676724,543760,666182,596019,665742,673357,701807,53.95,,0.0,0.0,1.0,0.0,0.0,,48,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,213,-0.004,-0.16,,,,0.16,,2,2,0.819,0.819,33,25,33,26,3,2,,1.0,,,1.11,0.47,-0.47,51.7,,,,,
FF,2026-03-31,97.1,-1.78,5.94,"Church, Nathan",701675,673540,,foul,,,,,6,Foul,R,L,R,STL,NYM,S,,,0,1,2026,-0.37,1.31,0.4190461202644231,2.045305712179762,,,,2,6,Bot,,,,,,,6.657383282273446,-141.14599291126163,-7.738462455203502,-6.383196807329162,30.484616214761616,-13.106677978686497,3.112934711,1.57101378,196.0,66.6,38.0,97.4,2468,6.4,823077,620443,676724,543760,666182,596019,665742,673357,701807,54.11,,,,,,,,48,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,216,-0.002,-0.057,71.5,6.7,,0.057,88.0,2,2,0.821,0.821,33,25,33,26,3,2,,1.0,,,1.1,0.37,-0.37,54.0,-5.099165091830559,7.635074334289693,44.786443622472994,29.998616844920623,20.08091025583206
ST,2026-03-31,84.2,-1.81,5.75,"Church, Nathan",701675,673540,,swinging_strike,,,,,14,Swinging Strike,R,L,R,STL,NYM,S,,,0,0,2026,1.0,-0.75,0.7515385050038204,0.7300285510057418,,,,2,6,Bot,,,,,,,3.847147916609251,-122.43472702828072,-3.3977441356784626,9.13883794302808,27.334688311811497,-39.10609119872561,3.112934711,1.57101378,,,,84.1,2582,6.5,823077,620443,676724,543760,666182,596019,665742,673357,701807,53.97,,,,,,,,48,1,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,25,-0.001,-0.043,73.4,9.0,,0.043,,2,2,0.822,0.822,33,25,33,26,3,2,,1.0,,,4.0,-1.0,1.0,51.1,33.435318348230204,-36.89299769783832,32.426199761796866,27.816740153418692,49.67143618088491
