pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-02,95.8,-1.13,6.11,"Isbel, Kyle",664728,671737,field_out,hit_into_play,,,,,12,Kyle Isbel pops out to third baseman Royce Lewis.,R,L,R,KC,MIN,X,5.0,popup,3,1,2026,-0.39,1.42,0.0272067609961746,3.5215072540528243,,,,0,5,Bot,115.52,173.62,,,,,3.921133501199948,-139.4080618375401,-4.305005138330226,-5.9787462379352325,31.61581493549082,-12.929995730876792,3.113812336,1.571456693,77.0,80.8,75.0,96.1,2271.0,6.5,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.02,0.003,0.003,0.0,1.0,0.0,0.0,3.0,36,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,197.0,-0.055,-0.439,66.9,6.6,0.003,0.439,88.0,-1,-1,0.437,0.437,25,29,25,29,2,1,,,,,1.07,0.39,-0.39,,3.4049787806783147,4.12888004651086,15.274704997447644,34.93060555238048,25.769442664935617
FF,2026-04-02,95.5,-1.2,6.01,"Isbel, Kyle",664728,671737,,called_strike,,,,,4,Called Strike,R,L,R,KC,MIN,S,,,3,0,2026,-0.3,1.45,-0.42406920819738,2.5426202540020126,,,,0,5,Bot,,,,,,,2.6998392110083125,-138.92857613065425,-6.54677244076707,-4.511697276981741,34.62615209480867,-12.21279703067948,3.113812336,1.571456693,,,,95.2,2269.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.09,,,,,,,,36,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,196.0,-0.012,-0.09,,,,0.09,,-1,-1,0.449,0.449,25,29,25,29,2,1,,,,,1.08,0.3,-0.3,,,,,,
FF,2026-04-02,94.0,-0.9,6.2,"Isbel, Kyle",664728,671737,,ball,,,,,11,Ball,R,L,R,KC,MIN,B,,,2,0,2026,-0.21,1.66,-0.3070478165021783,4.747571629390586,,,,0,5,Bot,,,,,,,2.005014886817552,-136.8893037720025,-1.582070266810704,-3.106452070157893,34.15933478963727,-11.318622571680828,3.113812336,1.571456693,,,,93.7,2225.0,6.3,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.16,,,,,,,,36,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,196.0,0.017,0.152,,,,-0.152,,-1,-1,0.432,0.432,25,29,25,29,2,1,,,,,0.94,0.21,-0.21,,,,,,
FF,2026-04-02,94.6,-0.8,6.01,"Isbel, Kyle",664728,671737,,ball,,,,,13,Ball,R,L,R,KC,MIN,B,,,1,0,2026,-0.59,1.75,-0.4166628164276742,-0.8736524799886889,,,,0,5,Bot,,,,,,,2.3347305380034022,-136.82451790556894,-15.761856701626447,-7.976377380159952,32.591272479196476,-6.754629532931875,3.113812336,1.571456693,,,,94.0,2289.0,6.5,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.04,,,,,,,,36,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,201.0,0.011,0.077,,,,-0.077,,-1,-1,0.421,0.421,25,29,25,29,2,1,,,,,0.84,0.59,-0.59,,,,,,
FF,2026-04-02,93.8,-1.03,6.26,"Isbel, Kyle",664728,671737,,ball,,,,,11,Ball,R,L,R,KC,MIN,B,,,0,0,2026,-0.71,1.69,-0.7082121136520347,4.711928784958613,,,,0,5,Bot,,,,,,,2.4227715808414256,-136.4431325942669,-1.8337014960106677,-9.423660100256214,34.730892992408776,-11.148515457668363,3.113812336,1.571456693,,,,93.3,2159.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.12,,,,,,,,36,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,198.0,0.006,0.041,,,,-0.041,,-1,-1,0.415,0.415,25,29,25,29,2,1,,,,,0.94,0.71,-0.71,,,,,,
FF,2026-04-02,95.9,-1.03,6.19,"Isbel, Kyle",664728,671737,single,hit_into_play,,,,,2,Kyle Isbel singles on a sharp line drive to left fielder Austin Martin.,R,L,R,KC,MIN,X,7.0,line_drive,3,1,2026,-0.37,1.47,-0.0711490478219114,2.6412550698152986,,,,2,3,Bot,78.17,87.21,,,,,3.360751865408583,-139.45963002646485,-6.93998686322417,-5.583589837136787,32.032761043758185,-11.600822385756988,3.113812336,1.571456693,271.0,102.4,13.0,96.1,2247.0,6.5,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.02,0.903,0.892,0.9,1.0,1.0,0.0,4.0,20,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,196.0,0.008,0.172,71.9,6.5,1.169,-0.172,102.4,-1,-1,0.396,0.396,25,29,25,29,1,0,,,,,1.01,0.37,-0.37,,0.4547698695659068,7.262725865569416,24.62229708007789,36.79220091069446,21.214971475179546
FS,2026-04-02,90.6,-1.17,6.08,"Isbel, Kyle",664728,671737,,ball,,,,,3,Ball,R,L,R,KC,MIN,B,,,2,1,2026,-0.67,0.37,0.6941231972950457,2.8971670115255415,,,,2,3,Bot,,,,,,,6.067856399684823,-131.98917203371664,-2.7284719636326606,-8.980880388980136,23.481962747033588,-27.453690919226165,3.113812336,1.571456693,,,,91.6,1375.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.06,,,,,,,,20,4,Split-Finger,0,1,0,1,1,0,0,1,Infield shade,Standard,216.0,0.005,0.117,,,,-0.117,,-1,-1,0.391,0.391,25,29,25,29,1,0,,,,,2.36,0.67,-0.67,,,,,,
FF,2026-04-02,96.3,-1.2,6.14,"Isbel, Kyle",664728,671737,,foul,,,,,5,Foul,R,L,R,KC,MIN,S,,,2,0,2026,-0.24,1.29,-0.2574685081233001,2.26211628949324,,,,2,3,Bot,,,,,,,3.0415964312488444,-140.22803265642696,-7.5822443241914765,-3.7760567182544538,25.862504513261236,-13.71491344650741,3.113812336,1.571456693,186.0,70.3,61.0,97.3,2305.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.08,,,,,,,,20,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,196.0,-0.003,-0.066,73.8,6.9,,0.066,88.0,-1,-1,0.394,0.394,25,29,25,29,1,0,,,,,1.13,0.24,-0.24,,-3.4216609984113178,7.221338702810691,26.815689643183244,38.6557864797181,25.334409183815172
FF,2026-04-02,97.1,-1.14,6.16,"Isbel, Kyle",664728,671737,,ball,,,,,13,Ball,R,L,R,KC,MIN,B,,,1,0,2026,-0.46,1.93,-1.4269122619384826,2.1570786696518205,,,,2,3,Bot,,,,,,,0.3019129710155546,-140.9627769977995,-9.329786278611866,-6.126943922928567,37.25348005403195,-4.481357734101243,3.113812336,1.571456693,,,,96.5,2347.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.07,,,,,,,,20,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,198.0,0.003,0.065,,,,-0.065,,-1,-1,0.391,0.391,25,29,25,29,1,0,,,,,0.53,0.46,-0.46,,,,,,
FF,2026-04-02,97.1,-1.11,6.1,"Isbel, Kyle",664728,671737,,ball,,,,,14,Ball,R,L,R,KC,MIN,B,,,0,0,2026,-0.24,1.68,0.7662511615395684,0.4961137931568572,,,,2,3,Bot,,,,,,,5.528320496104755,-140.72320757922867,-12.98569696481758,-4.5765219340392145,35.06842682469323,-6.897107040997544,3.113812336,1.571456693,,,,96.6,2338.0,6.5,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.04,,,,,,,,20,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,186.0,0.001,0.037,,,,-0.037,,-1,-1,0.39,0.39,25,29,25,29,1,0,,,,,0.77,0.24,-0.24,,,,,,
