pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-03-28,83.1,0.67,5.92,"Cantillo, Joey",702284,676282,strikeout,swinging_strike,,,,,13,Cole Young strikes out swinging.,R,L,L,SEA,CLE,S,2.0,,3,2,2026,-0.03,-0.4,-1.231061852179084,1.1588085721129393,,680977.0,660844.0,1,4,Bot,,,,,,,-4.307580744991297,-121.05656875510454,-3.4937135508258206,0.496595289614919,22.08968395065291,-35.69955813074032,3.133120079,1.581200787,,,,84.8,2208,7.2,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.34,,0.0,0.0,1.0,0.0,0.0,,31,8,Slider,2,0,2,0,0,2,2,0,Standard,Standard,319,-0.036,-0.313,67.9,8.2,,0.313,,2,2,0.817,0.817,26,22,27,23,2,1,,1.0,,1,3.68,-0.03,-0.03,53.8,18.24122471906391,-29.608215200420737,24.684017698019684,43.87873874945777,47.78133043890743
SL,2026-03-28,84.6,0.68,5.91,"Cantillo, Joey",702284,676282,,blocked_ball,,,,,13,Ball In Dirt,R,L,L,SEA,CLE,B,,,2,2,2026,-0.13,-0.18,-1.0877647612466026,0.696705553612452,,680977.0,660844.0,1,4,Bot,,,,,,,-3.883916448490411,-123.208654908152,-5.268682654279813,-0.5368761867383133,23.822266530019284,-33.1818766041564,3.133120079,1.581200787,,,,86.1,2190,7.1,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.36,,,,,,,,31,7,Slider,2,0,2,0,0,2,2,0,Standard,Standard,298,0.011,0.096,,,,-0.096,,2,2,0.806,0.806,26,22,27,23,2,1,,1.0,,1,3.35,-0.13,-0.13,52.4,,,,,
CH,2026-03-28,80.1,0.63,5.95,"Cantillo, Joey",702284,676282,,foul,,,,,6,Foul,R,L,L,SEA,CLE,S,,,2,2,2026,1.19,0.95,0.7272816815004555,2.3037117384226087,,680977.0,660844.0,1,4,Bot,,,,,,,-2.120009998199447,-116.65418203362891,-3.0062444433604076,11.275321061432464,21.457600866928505,-23.16750808754426,3.133120079,1.581200787,17.0,84.0,-7.0,81.5,1399,7.1,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.38,,,,,,,,31,6,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,133,0.0,0.0,65.1,7.1,,0.0,88.0,2,2,0.806,0.806,26,22,27,23,2,1,,1.0,,1,2.59,1.19,1.19,52.1,21.21852904806248,-23.499825530499933,23.208564360462375,22.08418617486366,42.540045471215066
SL,2026-03-28,81.9,0.62,5.94,"Cantillo, Joey",702284,676282,,foul,,,,,9,Foul,R,L,L,SEA,CLE,S,,,2,2,2026,-0.3,-0.62,0.3211385070403468,1.8937436215246408,,680977.0,660844.0,1,4,Bot,,,,,,,-0.0935594218069382,-119.32290318392528,-1.1511836240456317,-2.814473824117617,22.776392622403343,-38.07374768224842,3.133120079,1.581200787,65.0,102.7,2.0,83.1,2240,7.0,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.47,,,,,,,,31,5,Slider,2,0,2,0,0,2,2,0,Standard,Standard,309,0.0,0.0,76.1,7.5,,0.0,102.7,2,2,0.806,0.806,26,22,27,23,2,1,,1.0,,1,4.01,-0.3,-0.3,53.1,13.930662538213245,-28.606219843457307,26.67701120667109,25.85122828406726,48.40885169910709
CU,2026-03-28,78.5,0.79,6.13,"Cantillo, Joey",702284,676282,,ball,,,,,12,Ball,R,L,L,SEA,CLE,B,,,1,2,2026,-0.71,-1.43,1.0617906928674783,3.712007738833501,,680977.0,660844.0,1,4,Bot,,,,,,,1.9355650360612415,-114.02545929868108,4.670253947246193,-6.50479032395004,23.938883666445555,-45.75840140524757,3.133120079,1.581200787,,,,78.6,2534,6.8,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.73,,,,,,,,31,4,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,333,0.004,0.043,,,,-0.043,,2,2,0.802,0.802,26,22,27,23,2,1,,1.0,,1,5.19,-0.71,-0.71,53.5,,,,,
FF,2026-03-28,92.4,0.57,5.9,"Cantillo, Joey",702284,676282,,foul,,,,,13,Foul,R,L,L,SEA,CLE,S,,,1,1,2026,0.08,1.62,-0.3951357458440431,1.29281541566084,,680977.0,660844.0,1,4,Bot,,,,,,,-2.6565128444869295,-134.12522473738164,-9.265314173315325,1.6515937436190449,34.56291750342566,-10.701870545614646,3.133120079,1.581200787,202.0,74.5,50.0,93.0,1995,7.2,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.3,,,,,,,,31,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,152,-0.007,-0.058,73.5,7.2,,0.058,88.0,2,2,0.809,0.809,26,22,27,23,2,1,,1.0,,1,1.1,0.08,0.08,52.1,-1.3648341716228511,6.151433364713329,34.18737426052301,33.68060455890598,24.763985715683265
SL,2026-03-28,83.4,0.72,5.95,"Cantillo, Joey",702284,676282,,called_strike,,,,,8,Called Strike,R,L,L,SEA,CLE,S,,,1,0,2026,-0.36,-0.03,-0.2584469123278813,1.9381380434101572,,680977.0,660844.0,1,4,Bot,,,,,,,-1.5132048109044425,-121.35363452945585,-2.433900592879776,-3.204706979368356,25.948197406422164,-32.185280608842056,3.133120079,1.581200787,,,,84.2,2326,7.0,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.47,,,,,,,,31,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,312,-0.006,-0.045,,,,0.045,,2,2,0.815,0.815,26,22,27,23,2,1,,1.0,,1,3.33,-0.36,-0.36,53.4,,,,,
SL,2026-03-28,82.1,0.66,5.99,"Cantillo, Joey",702284,676282,,ball,,,,,14,Ball,R,L,L,SEA,CLE,B,,,0,0,2026,-0.22,-0.58,0.911120949031642,2.1935096478510845,,680977.0,660844.0,1,4,Bot,,,,,,,0.9953161682008468,-119.63549373441074,-0.7199133348920183,-2.2675348085659364,22.25991817707823,-37.86497133880138,3.133120079,1.581200787,,,,83.4,2274,7.0,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.53,,,,,,,,31,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,311,0.004,0.031,,,,-0.031,,2,2,0.811,0.811,26,22,27,23,2,1,,1.0,,1,3.95,-0.22,-0.22,52.7,,,,,
CH,2026-03-28,78.5,0.64,6.04,"Cantillo, Joey",660844,676282,walk,ball,,,,,12,Leo Rivas walks. Randy Arozarena scores. Brendan Donovan to 2nd. Wild pitch by pitcher Joey Cantillo.,R,R,L,SEA,CLE,B,,,3,2,2026,1.39,0.73,2.232832912605458,4.86314822933382,668227.0,,680977.0,1,4,Bot,,,,,,,0.7821685279688065,-114.19380038182716,3.24807115980205,11.882170963913604,24.39080947313015,-26.77777726334927,3.006742126,1.51742126,,,,79.1,1339,7.1,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.4,,0.700091,0.7,1.0,0.0,0.0,,30,9,Changeup,1,0,1,0,0,2,2,0,Strategic,Strategic,131,0.058,0.255,,,,-0.255,,1,1,0.753,0.753,26,28,27,29,2,1,,1.0,,1,3.02,1.39,-1.39,53.3,,,,,
FF,2026-03-28,90.0,0.45,5.98,"Cantillo, Joey",660844,676282,,foul,,,,,14,Foul,R,R,L,SEA,CLE,S,,,3,2,2026,0.42,1.42,0.9691571432662344,2.101435215366356,668227.0,,680977.0,1,4,Bot,,,,,,,0.3712525913454265,-130.9738800941228,-6.526525586564829,4.678607938122206,30.301779965246848,-14.68767892318441,3.006742126,1.51742126,193.0,69.5,49.0,91.1,1699,7.2,823161,681807,700932,682177,608070,677587,682657,680757,692216,53.31,,,,,,,,30,8,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Strategic,154,0.0,0.0,55.1,7.1,,0.0,88.0,1,1,0.753,0.753,26,28,27,29,2,1,,1.0,,1,1.42,0.42,-0.42,53.5,2.089141399686458,12.09389913527581,26.73341123273592,43.99061801459138,18.74709169448925
