pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-31,94.3,0.77,6.23,"Rengifo, Luis",650859,663556,field_out,hit_into_play,,,,,5.0,"Luis Rengifo grounds out, second baseman Ben Williamson to first baseman Jonathan Aranda.",R,R,L,MIL,TB,X,4.0,ground_ball,0,0,2026,0.82,0.97,-0.1599451100878155,2.0350444140374853,,,,0,4,Bot,125.97,143.07,,,,,-4.278519697782849,-137.10416768849842,-7.1788091957410485,11.31714299798841,30.504440709636796,-18.546136149283285,3.087483596,1.558169291,26.0,107.3,-3.0,94.8,2015.0,6.6,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.87,0.437,0.419,0.0,1.0,0.0,0.0,4.0,26,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,148.0,-0.03,-0.259,72.4,7.0,0.499,0.259,107.3,-1,-1,0.428,0.428,29,29,29,29,2,1,,1.0,,,1.6,0.82,-0.82,40.3,-3.0133452465430883,6.134402651238693,35.9314648149903,34.48861596237674,26.407680441012204
FF,2026-03-31,95.6,-2.01,5.3,"Rengifo, Luis",650859,672782,strikeout,swinging_strike,,,,,4.0,Luis Rengifo strikes out swinging.,R,L,R,MIL,TB,S,2.0,,2,2,2026,-0.8,1.52,-0.7220402583751011,2.4418029856295154,,668930.0,,0,7,Bot,,,,,,,5.221675333784751,-139.07927148092142,-5.220721210484373,-11.52053388274166,31.988054198987687,-11.51627746349846,3.087483596,1.558169291,,,,96.5,2517.0,6.8,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.65,,0.0,0.0,1.0,0.0,0.0,,56,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,214.0,-0.008,-0.286,61.8,6.4,,0.286,,3,3,0.955,0.955,26,29,27,29,1,3,5.0,1.0,,,0.98,0.8,-0.8,27.2,-14.278107663845407,33.648459816618356,25.716188436923176,41.44048296283027,5.550615035013717
ST,2026-03-31,82.8,-2.36,5.3,"Rengifo, Luis",650859,672782,,ball,,,,,11.0,Ball,R,L,R,MIL,TB,B,,,1,2,2026,1.35,0.77,-2.007593009428099,2.362509440471656,,668930.0,,0,7,Bot,,,,,,,-1.9224490960870144,-120.63449185757302,-1.5428994479135314,13.55559965298134,24.291380981233218,-24.604111077324845,3.087483596,1.558169291,,,,83.4,2798.0,6.7,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.81,,,,,,,,56,4,Sweeper,5,2,5,2,2,5,5,2,Standard,Standard,84.0,0.001,0.045,,,,-0.045,,3,3,0.954,0.954,26,29,27,29,1,3,5.0,1.0,,,2.56,-1.35,1.35,30.9,,,,,
FF,2026-03-31,95.4,-2.11,5.48,"Rengifo, Luis",650859,672782,,ball,,,,,11.0,Ball,R,L,R,MIL,TB,B,,,0,2,2026,-0.54,1.5,-1.5764890444910415,2.4201191971926512,,668930.0,,0,7,Bot,,,,,,,2.6433253430091885,-138.79113247157937,-5.686473354420233,-7.622181115351736,31.562043769743916,-11.677679494436395,3.087483596,1.558169291,,,,95.9,2462.0,6.6,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.85,,,,,,,,56,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,213.0,0.001,0.017,,,,-0.017,,3,3,0.953,0.953,26,29,27,29,1,3,5.0,1.0,,,1.01,0.54,-0.54,29.4,,,,,
FF,2026-03-31,92.6,-1.93,5.55,"Rengifo, Luis",650859,672782,,called_strike,,,,,9.0,Called Strike,R,L,R,MIL,TB,S,,,0,1,2026,-0.36,1.3,0.5691433876782538,1.9359321946111436,,,668930.0,0,7,Bot,,,,,,,7.177252809542656,-134.59601369808755,-6.152416448411836,-5.9419486321850306,28.166955282623604,-15.209906123649269,3.087483596,1.558169291,,,,93.6,2511.0,6.9,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.63,,,,,,,,56,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,204.0,0.004,-0.053,,,,0.053,,3,3,0.949,0.949,26,29,27,29,1,3,5.0,1.0,,,1.36,0.36,-0.36,31.0,,,,,
CH,2026-03-31,87.9,0.74,6.1,"Rengifo, Luis",650859,663556,field_out,hit_into_play,,,,,4.0,"Luis Rengifo grounds out, second baseman Ben Williamson to first baseman Jonathan Aranda.",R,R,L,MIL,TB,X,4.0,ground_ball,0,2,2026,1.25,-0.05,-0.3513296299572899,2.267492898626921,,,,1,1,Bot,129.51,159.79,,,,,-5.29290457991337,-127.925225817947,-2.877664948723298,14.76493497773433,25.544189424898946,-32.37938551767991,3.087483596,1.558169291,2.0,76.6,-45.0,88.9,1351.0,6.8,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.67,0.127,0.114,0.0,1.0,0.0,0.0,2.0,6,3,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,109.0,-0.01,-0.163,57.7,5.9,0.128,0.163,88.0,-1,-1,0.417,0.417,29,29,29,29,1,0,,1.0,,,2.99,1.25,-1.25,39.5,-6.023748660792594,25.25651331769892,24.886398165600323,30.12606428850729,16.38364463724981
FC,2026-03-31,90.7,-2.09,5.43,"Rengifo, Luis",650859,672782,,called_strike,,,,,8.0,Called Strike,R,L,R,MIL,TB,S,,,0,0,2026,-0.14,0.88,0.105684918041583,1.7787105183520284,,,668930.0,0,7,Bot,,,,,,,5.77486578908055,-132.0361399852959,-4.979595882060608,-2.750629042265738,26.44827982091213,-21.052650308005784,3.087483596,1.558169291,,,,91.8,2560.0,6.8,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.72,,,,,,,,56,1,Cutter,5,2,5,2,2,5,5,2,Standard,Standard,197.0,-0.001,-0.043,,,,0.043,,3,3,0.95,0.95,26,29,27,29,1,3,5.0,1.0,,,1.88,0.14,-0.14,35.9,,,,,
SL,2026-03-31,88.1,0.84,6.02,"Rengifo, Luis",650859,663556,,foul,,,,,13.0,Foul,R,R,L,MIL,TB,S,,,0,1,2026,-0.27,0.14,-0.8772776429249691,1.487204773954078,,,,1,1,Bot,,,,,,,-3.5726644988990772,-128.21989499112263,-5.037351085332681,-2.3355486233659692,25.214150590676375,-29.775158158087923,3.087483596,1.558169291,9.0,84.1,-10.0,88.9,2434.0,6.7,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.82,,,,,,,,6,2,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,324.0,-0.004,-0.052,77.6,7.6,,0.052,88.0,-1,-1,0.421,0.421,29,29,29,29,1,0,,1.0,,,2.78,-0.27,0.27,37.7,9.097427027730346,-11.426036746127982,38.77658664289251,25.525738328686124,36.13015114433445
CH,2026-03-31,87.0,0.73,6.04,"Rengifo, Luis",650859,663556,,called_strike,,,,,8.0,Called Strike,R,R,L,MIL,TB,S,,,0,0,2026,1.38,0.26,-0.0401447617319041,1.4423787243021486,,,,1,1,Bot,,,,,,,-4.7430011765412186,-126.5453730297546,-5.154531716265574,15.817731178967966,26.633367281332507,-28.453049362873323,3.087483596,1.558169291,,,,87.6,1626.0,6.8,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.75,,,,,,,,6,1,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,117.0,-0.003,-0.039,,,,0.039,,-1,-1,0.424,0.424,29,29,29,29,1,0,,1.0,,,2.76,1.38,-1.38,38.5,,,,,
CH,2026-03-31,82.3,-1.82,5.71,"Rengifo, Luis",650859,642121,field_out,hit_into_play,,,,,6.0,Luis Rengifo grounds out to first baseman Jonathan Aranda.,R,L,R,MIL,TB,X,3.0,ground_ball,0,0,2026,-1.03,0.42,0.3697433482840822,2.256377430200063,,668930.0,,2,5,Bot,,,,,,,7.013585291176796,-119.67510470219838,-1.9389938794875583,-11.187526254241495,22.156171663247967,-27.978524790910097,3.087483596,1.558169291,11.0,89.8,-12.0,83.3,1688.0,6.9,823807,663743,666018,810938,691406,700246,802415,656775,641584,53.6,0.114,0.103,0.0,1.0,0.0,0.0,2.0,39,1,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,237.0,-0.034,-0.288,70.8,7.1,0.129,0.288,89.8,1,1,0.694,0.694,36,29,36,29,1,2,3.0,1.0,,,2.94,1.03,-1.03,42.1,17.6273344552113,-6.24416728866143,37.449319459009864,27.6652636312578,31.09355666800263
