pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-03-27,86.6,-1.22,6.21,"Nelson, Ryne",660271,669194,field_out,hit_into_play,,,,,1,"Shohei Ohtani grounds out, second baseman Ketel Marte to first baseman Carlos Santana.",R,L,R,LAD,AZ,X,4.0,ground_ball,2,2,2026,0.48,0.26,-0.7738935276144485,2.954747300619154,,,,1,5,Bot,151.62,147.19,,,,,0.0589385204335546,-126.25893794755268,-1.9827379353134211,5.165217210209497,23.343720393631543,-29.25109403732925,3.369201116,1.700344488,21.0,82.0,-7.0,87.5,2353,6.6,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.95,0.117,0.12,0.0,1.0,0.0,0.0,2.0,40,5,Slider,4,4,4,4,4,4,4,4,Infield shade,Standard,118,-0.019,-0.228,62.6,7.9,0.142,0.228,88.0,0,0,0.534,0.534,28,31,28,32,3,2,,1.0,,1,2.75,-0.48,0.48,50.8,9.818434512821904,1.4356786997575437,27.014298753451527,47.69075492737157,16.79407954015607
FF,2026-03-27,94.3,-1.15,6.24,"Nelson, Ryne",660271,669194,,foul,,,,,6,Foul,R,L,R,LAD,AZ,S,,,2,1,2026,-0.27,1.4,0.4679611719536946,2.8175220098220493,,,,1,5,Bot,,,,,,,4.819353990873911,-137.2569782911174,-6.227228792388761,-4.428038023645576,28.788779716156828,-13.29373652600691,3.369201116,1.700344488,206.0,67.8,31.0,95.4,2285,6.8,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.69,,,,,,,,40,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,190,-0.006,-0.07,77.7,7.1,,0.07,88.0,0,0,0.54,0.54,28,31,28,32,3,2,,1.0,,1,1.15,0.27,-0.27,55.5,3.463660137807337,10.674611269107688,41.37493524780787,32.76183153681792,20.87838945397351
SL,2026-03-27,87.1,-1.22,6.25,"Nelson, Ryne",660271,669194,,ball,,,,,14,Ball,R,L,R,LAD,AZ,B,,,1,1,2026,0.36,0.46,0.5655337835230041,1.1698000293491488,,,,1,5,Bot,,,,,,,3.482806860454017,-126.85957814535512,-6.841151388975019,3.351114093978717,22.28904855191374,-26.09274683510595,3.369201116,1.700344488,,,,87.8,2363,6.4,823971,672515,467793,606466,571448,672695,691783,677950,682998,54.12,,,,,,,,40,3,Slider,4,4,4,4,4,4,4,4,Infield shade,Standard,127,0.004,0.055,,,,-0.055,,0,0,0.536,0.536,28,31,28,32,3,2,,1.0,,1,2.5,-0.36,0.36,58.6,,,,,
FF,2026-03-27,95.1,-0.95,6.33,"Nelson, Ryne",660271,669194,,foul,,,,,12,Foul,R,L,R,LAD,AZ,S,,,1,0,2026,-0.28,1.45,1.0481132309891354,2.6873051017367713,,,,1,5,Bot,,,,,,,5.826990131061846,-138.34732551484365,-7.070747264493396,-4.764080909851615,28.052475061111217,-12.092315302199182,3.369201116,1.700344488,137.0,60.7,61.0,96.0,2324,6.6,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.89,,,,,,,,40,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,193,-0.004,-0.049,77.7,7.7,,0.049,88.0,0,0,0.54,0.54,28,31,28,32,3,2,,1.0,,1,1.05,0.28,-0.28,54.4,15.581844514046582,-4.905383301993217,41.36279950160557,25.754276477329803,25.786443297570436
CU,2026-03-27,78.1,-1.2,6.32,"Nelson, Ryne",660271,669194,,ball,,,,,11,Ball,R,L,R,LAD,AZ,B,,,0,0,2026,0.66,-1.16,-1.2926916666878916,2.6964809892082817,,,,1,5,Bot,,,,,,,-1.4351807045353375,-113.78631443247258,1.4687483821958538,5.979369188217205,21.344118549803095,-42.70438000511719,3.369201116,1.700344488,,,,78.3,2729,6.4,823971,672515,467793,606466,571448,672695,691783,677950,682998,54.08,,,,,,,,40,1,Curveball,4,4,4,4,4,4,4,4,Infield shade,Standard,33,0.003,0.039,,,,-0.039,,0,0,0.537,0.537,28,31,28,32,3,2,,1.0,,1,4.89,-0.66,0.66,52.8,,,,,
CU,2026-03-27,78.3,-1.04,6.36,"Nelson, Ryne",690976,669194,field_out,hit_into_play,,,,,8,"Alex Freeland grounds out, shortstop Geraldo Perdomo to first baseman Carlos Santana.",R,L,R,LAD,AZ,X,6.0,ground_ball,1,2,2026,0.62,-1.0,0.1827565556813501,1.8237656101194537,,,,0,5,Bot,116.49,158.09,,,,,1.4452711081719145,-114.10223762371722,-0.8068095156081964,5.116877893639963,21.123234265467424,-41.00764145898288,3.184899934,1.607332677,70.0,73.1,6.0,78.3,2768,6.2,823971,672515,467793,606466,571448,672695,691783,677950,682998,54.28,0.199,0.179,0.0,1.0,0.0,0.0,2.0,39,4,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,26,-0.021,-0.189,75.4,7.5,0.222,0.189,88.0,0,0,0.558,0.558,28,24,28,25,2,1,,,,1,4.71,-0.62,0.62,58.1,9.22902341093964,-19.84980136306439,26.48219119273751,36.52080068368271,46.04451899474672
FF,2026-03-27,95.7,-1.02,6.31,"Nelson, Ryne",690976,669194,,foul,,,,,5,Foul,R,L,R,LAD,AZ,S,,,1,1,2026,-0.38,1.73,0.1933208482708733,2.3170494343037267,,,,0,5,Bot,,,,,,,4.072139830546803,-139.11274906371506,-8.70492716746259,-5.913885710814844,32.158774632775945,-7.899727152484456,3.184899934,1.607332677,181.0,82.8,65.0,96.3,2429,6.8,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.75,,,,,,,,39,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shade,Standard,192,-0.008,-0.061,71.5,7.1,,0.061,88.0,0,0,0.566,0.566,28,24,28,25,2,1,,,,1,0.77,0.38,-0.38,58.8,3.5019604809648692,8.004866119379072,29.28070529220345,37.59241589429264,24.1853394516647
FF,2026-03-27,94.5,-1.01,6.35,"Nelson, Ryne",690976,669194,,called_strike,,,,,6,Called Strike,R,L,R,LAD,AZ,S,,,1,0,2026,-0.36,1.69,0.7219107346114505,2.2991020728441223,,,,0,5,Bot,,,,,,,5.3036459687014785,-137.35636022731882,-8.516731803499024,-5.711860996924295,30.12943155710015,-9.041118080468133,3.184899934,1.607332677,,,,95.2,2380,6.8,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.74,,,,,,,,39,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,189,-0.006,-0.05,,,,0.05,,0,0,0.572,0.572,28,24,28,25,2,1,,,,1,0.86,0.36,-0.36,56.2,,,,,
CU,2026-03-27,78.9,-1.19,6.33,"Nelson, Ryne",690976,669194,,ball,,,,,14,Ball,R,L,R,LAD,AZ,B,,,0,0,2026,0.34,-0.85,0.1307486014009145,1.0868846395625131,,,,0,5,Bot,,,,,,,2.1971660231157677,-114.87208854807793,-2.7153824673262705,2.5866643663368856,21.718844531487424,-39.41469486802917,3.184899934,1.607332677,,,,78.7,2632,6.2,823971,672515,467793,606466,571448,672695,691783,677950,682998,54.33,,,,,,,,39,1,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,35,0.005,0.041,,,,-0.041,,0,0,0.567,0.567,28,24,28,25,2,1,,,,1,4.52,-0.34,0.34,59.2,,,,,
FF,2026-03-27,94.8,-0.93,6.27,"Nelson, Ryne",681624,669194,field_out,hit_into_play,,,,,11,Andy Pages pops out to catcher Gabriel Moreno in foul territory.,R,R,R,LAD,AZ,X,2.0,popup,3,1,2026,-0.26,1.7,-0.70313753059089,3.465649691522526,,,,2,4,Bot,151.62,201.7,,,,,1.1904139247004657,-138.0198147722216,-5.388583192914019,-3.6137035294401145,30.129824814107447,-9.410897939808455,3.23667979,1.633464567,51.0,65.7,81.0,95.7,2302,6.8,823971,672515,467793,606466,571448,672695,691783,677950,682998,53.74,0.001,0.0,0.0,1.0,0.0,0.0,3.0,35,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,188,-0.019,-0.414,70.2,7.2,0.001,0.414,88.0,0,0,0.519,0.519,28,25,28,26,2,1,,1.0,,1,0.83,0.26,0.26,61.4,6.22481850732323,-8.809132283841457,34.59894583703398,28.048857532149277,28.821160528112436
