pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2026-04-02,90.4,-1.34,6.07,"Perez, Salvador",521692,671737,single,hit_into_play,,,,,8,Salvador Perez singles on a ground ball to third baseman Royce Lewis.,R,R,R,KC,MIN,X,5.0,ground_ball,0,0,2026,0.17,0.48,-0.2636342743837719,1.996042877373929,,,,1,6,Bot,96.07,166.38,,,,,2.276469349673623,-131.69100201858743,-5.044811600242198,1.5185885302449225,28.140056628148425,-25.69830675165774,3.312155512,1.671555118,4.0,108.5,-27.0,90.6,2115.0,6.3,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.16,0.085,0.077,0.9,1.0,1.0,0.0,2.0,43,1,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,187.0,0.045,0.414,,,0.085,-0.414,108.5,-1,-1,0.356,0.356,25,36,25,36,3,2,,,,,2.3,-0.17,-0.17,,,,,,
FC,2026-04-02,90.2,-1.36,6.06,"Perez, Salvador",521692,671737,field_out,hit_into_play,,,,,14,Salvador Perez flies out to right fielder Matt Wallner.,R,R,R,KC,MIN,X,9.0,fly_ball,1,2,2026,0.59,0.21,0.274897287170124,1.0679939890413237,,,686469.0,0,4,Bot,170.25,80.9,,,,,2.750751773860127,-131.39806126067867,-6.73880627634065,6.373394135245481,24.256467228528493,-28.632817977284695,3.312155512,1.671555118,313.0,91.1,31.0,90.8,2282.0,6.3,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.21,0.071,0.114,0.0,1.0,0.0,0.0,3.0,27,5,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,155.0,-0.031,-0.164,67.4,8.2,0.195,0.164,91.1,-1,-1,0.463,0.463,25,36,25,36,2,1,,,,,2.55,-0.59,-0.59,,-8.398451942323527,-27.127947826928533,45.57013784907026,38.01223303196233,23.9701438929044
FF,2026-04-02,98.1,-1.39,6.05,"Perez, Salvador",521692,671737,,foul,,,,,8,Foul,R,R,R,KC,MIN,S,,,1,2,2026,-0.51,1.51,0.0827505249200797,1.9815465205195997,,,686469.0,0,4,Bot,,,,,,,5.118681456358,-142.5801171296218,-8.849705044467841,-8.091782996024227,30.249914744445892,-9.795907617694033,3.312155512,1.671555118,197.0,74.5,50.0,98.4,2321.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.13,,,,,,,,27,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,196.0,0.0,0.0,70.3,7.7,,0.0,88.0,-1,-1,0.463,0.463,25,36,25,36,2,1,,,,,0.85,0.51,0.51,,5.229554773936463,-0.5833542273383178,39.94683838373,36.21962465276348,19.71271247117082
FC,2026-04-02,88.9,-1.48,5.97,"Perez, Salvador",521692,671737,,foul,,,,,8,Foul,R,R,R,KC,MIN,S,,,1,1,2026,-0.01,0.47,-0.0668926004347205,1.917866465478765,,,686469.0,0,4,Bot,,,,,,,3.4427880058126004,-129.33047287933195,-4.583064749588479,-0.941511223551164,29.71142576343338,-26.14624214672888,3.312155512,1.671555118,,,,88.6,2142.0,6.3,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.18,,,,,,,,27,3,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,147.0,-0.012,-0.07,72.1,8.2,,0.07,,-1,-1,0.475,0.475,25,36,25,36,2,1,,,,,2.44,0.01,0.01,,22.1218080583864,-15.66259129070822,35.78154464553204,34.72373234757082,34.88247333009663
FS,2026-04-02,89.4,-1.38,6.01,"Perez, Salvador",521692,671737,,ball,,,,,12,Ball,R,R,R,KC,MIN,B,,,0,1,2026,-0.63,0.5,0.4527221702966227,4.6781280124089895,,,686469.0,0,4,Bot,,,,,,,5.833562152106671,-129.98052050667425,1.9233772223765255,-8.525446809966931,32.10574595726245,-27.360448613851418,3.312155512,1.671555118,,,,88.8,1571.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.11,,,,,,,,27,2,Split-Finger,0,1,0,1,1,0,0,1,Infield shade,Standard,210.0,0.005,0.034,,,,-0.034,,-1,-1,0.47,0.47,25,36,25,36,2,1,,,,,2.4,0.63,0.63,,,,,,
FC,2026-04-02,88.9,-1.43,5.99,"Perez, Salvador",521692,671737,,swinging_strike,,,,,9,Swinging Strike,R,R,R,KC,MIN,S,,,0,0,2026,0.34,0.7,0.713990311393241,1.9599488059990071,,,686469.0,0,4,Bot,,,,,,,4.4723841197080745,-129.31999441873148,-5.007429928393996,2.705019236455332,30.823418243864147,-23.44974152619821,3.312155512,1.671555118,,,,88.6,2125.0,6.5,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.05,,,,,,,,27,1,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,162.0,-0.007,-0.043,78.4,8.3,,0.043,,-1,-1,0.477,0.477,25,36,25,36,2,1,,,,,2.22,-0.34,-0.34,,19.342763716598657,-14.898480351687688,33.66137887419598,42.87608046808973,32.03552137283952
FF,2026-04-02,95.8,-1.09,6.15,"Perez, Salvador",521692,671737,field_out,hit_into_play,,,,,6,"Salvador Perez grounds out, third baseman Royce Lewis to first baseman Kody Clemens.",R,R,R,KC,MIN,X,5.0,ground_ball,1,1,2026,-0.38,1.74,0.6198118951915759,2.6012118055445916,,,,0,2,Bot,100.12,161.82,,,,,5.297417931122623,-139.20327330160157,-7.456506369908408,-6.166451815502044,34.715604008019874,-8.129107427345964,3.312155512,1.671555118,108.0,83.8,8.0,95.2,2302.0,6.3,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.23,0.437,0.41,0.0,1.0,0.0,0.0,4.0,12,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,192.0,-0.024,-0.251,70.6,8.3,0.492,0.251,88.0,-1,-1,0.442,0.442,25,36,25,36,1,0,,,,,0.78,0.38,0.38,,17.832098785544158,-10.921528268296957,32.135582199173,43.22809463561642,37.73464680899163
FS,2026-04-02,89.3,-1.07,6.17,"Perez, Salvador",521692,671737,,called_strike,,,,,8,Called Strike,R,R,R,KC,MIN,S,,,1,0,2026,-1.55,0.79,-0.0431885017346842,2.119791580631325,,,,0,2,Bot,,,,,,,5.819968471352187,-129.7467821485663,-5.311369103753682,-18.75669030441254,30.510813192902095,-22.337750840513017,3.312155512,1.671555118,,,,88.8,1664.0,6.4,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.13,,,,,,,,12,2,Split-Finger,0,1,0,1,1,0,0,1,Infield shade,Standard,206.0,-0.005,-0.05,,,,0.05,,-1,-1,0.447,0.447,25,36,25,36,1,0,,,,,2.11,1.55,1.55,,,,,,
CU,2026-04-02,80.0,-1.14,6.2,"Perez, Salvador",521692,671737,,ball,,,,,13,Ball,R,R,R,KC,MIN,B,,,0,0,2026,-0.09,-1.53,-1.47416221868333,0.8367846702496724,,,,0,2,Bot,,,,,,,-0.5445555991878352,-116.35750725152992,-1.687994938728616,-0.6714212687075582,28.399591375658957,-45.59525036622022,3.312155512,1.671555118,,,,78.7,2358.0,6.1,824133,605170,665019,807712,668904,656484,668885,621439,670242,54.42,,,,,,,,12,1,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,11.0,0.004,0.041,,,,-0.041,,-1,-1,0.443,0.443,25,36,25,36,1,0,,,,,5.18,0.09,0.09,,,,,,
SL,2026-04-02,88.1,-2.64,5.47,"Perez, Salvador",521692,663485,force_out,hit_into_play,,,,,6,"Royals challenged (force play), call on the field was upheld: Salvador Perez grounds into a force out, shortstop Tristan Gray to second baseman Luke Keaschall. Bobby Witt Jr. out at 2nd. Salvador Perez to 1st.",R,R,R,KC,MIN,X,6.0,ground_ball,0,1,2026,0.33,0.11,0.6201667131896914,2.7807183580716623,,,677951.0,1,8,Bot,110.76,151.68,,,,,7.066939506399201,-128.08041422579265,-0.4470405439258155,2.1146162296179636,27.248976666275137,-31.128412482782696,3.312155512,1.671555118,12.0,102.6,-12.0,87.3,2522.0,5.9,824133,605170,665019,807712,668904,656484,681546,621439,670242,54.6,0.228,0.205,0.0,1.0,0.0,0.0,2.0,62,2,Slider,1,2,1,2,2,1,1,2,Infield shade,Standard,151.0,-0.071,-0.278,75.1,8.1,0.232,0.278,102.6,-1,-1,0.304,0.304,28,36,29,36,1,3,,,,,2.84,-0.33,-0.33,,22.909458790470644,-3.657846636638416,26.77139711453183,42.21433231940104,28.53591787057303
CU,2026-04-02,81.7,-2.53,5.47,"Perez, Salvador",521692,663485,,called_strike,,,,,6,Called Strike,R,R,R,KC,MIN,S,,,0,0,2026,1.47,-0.46,0.2815953814302818,2.7918321599436706,,,677951.0,1,8,Bot,,,,,,,3.3284698737290075,-118.83729780109252,1.670334686351264,13.192166282260906,24.577349597060813,-37.09339408047365,3.312155512,1.671555118,,,,80.6,3027.0,5.8,824133,605170,665019,807712,668904,656484,681546,621439,670242,54.75,,,,,,,,62,1,Curveball,1,2,1,2,2,1,1,2,Infield shade,Standard,49.0,-0.012,-0.04,,,,0.04,,-1,-1,0.316,0.316,28,36,29,36,1,3,,,,,3.9,-1.47,-1.47,,,,,,
SI,2026-04-01,92.4,-2.85,4.73,"Perez, Salvador",521692,657746,field_out,hit_into_play,,,,,4,Salvador Perez flies out to right fielder Matt Wallner.,R,R,R,KC,MIN,X,9.0,fly_ball,2,2,2026,-1.0,1.23,-0.3536407533551693,2.498094902688529,,686469.0,,0,3,Bot,188.62,117.99,,,,,8.543548964482563,-134.3466816756935,-2.422681022856038,-13.978989990055222,29.7878708394683,-16.984567608215553,3.312155512,1.671555118,280.0,83.1,38.0,92.9,2298.0,6.7,824136,680777,605170,807712,668904,686797,668885,621439,670242,53.79,0.011,0.012,0.0,1.0,0.0,0.0,3.0,24,5,Sinker,3,0,3,0,0,3,3,0,Standard,Standard,222.0,-0.017,-0.237,,,0.02,0.237,88.0,3,3,0.867,0.867,30,36,30,36,2,1,6.0,2.0,,,1.45,1.0,1.0,24.2,,,,,
FF,2026-04-01,91.8,-2.91,4.69,"Perez, Salvador",521692,657746,,ball,,,,,11,Ball,R,R,R,KC,MIN,B,,,1,2,2026,-1.24,1.21,-0.9373306110377924,3.9017377924215975,,686469.0,,0,3,Bot,,,,,,,7.711563318144946,-133.3982657122477,1.393937801942878,-16.463708426683734,30.41632814946426,-18.347274909414356,3.312155512,1.671555118,,,,92.3,2280.0,6.8,824136,680777,605170,807712,668904,686797,668885,621439,670242,53.7,,,,,,,,24,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,217.0,0.003,0.045,,,,-0.045,,3,3,0.864,0.864,30,36,30,36,2,1,6.0,2.0,,,1.52,1.24,1.24,22.7,,,,,
FF,2026-04-01,91.5,-2.77,4.75,"Perez, Salvador",521692,657746,,ball,,,,,12,Ball,R,R,R,KC,MIN,B,,,0,2,2026,-1.12,1.46,0.3904289856571272,3.8711291832487302,,686469.0,,0,3,Bot,,,,,,,10.37544403955344,-132.85632966687209,0.6073755442962159,-15.384041640832836,27.315801878968983,-15.20319056460595,3.312155512,1.671555118,,,,92.3,2286.0,6.8,824136,680777,605170,807712,668904,686797,668885,621439,670242,53.72,,,,,,,,24,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,244.0,0.002,0.017,,,,-0.017,,3,3,0.862,0.862,30,36,30,36,2,1,6.0,2.0,,,1.27,1.12,1.12,25.9,,,,,
ST,2026-04-01,78.3,-2.84,4.75,"Perez, Salvador",521692,657746,,foul,,,,,3,Foul,R,R,R,KC,MIN,S,,,0,1,2026,1.52,-0.19,0.4180692881449093,3.1071469907425637,,686469.0,,0,3,Bot,,,,,,,4.096493714271622,-113.88127367310491,3.935415077934251,12.346732036450154,22.62353496094407,-34.829088197431616,3.312155512,1.671555118,338.0,90.3,39.0,78.5,2772.0,6.6,824136,680777,605170,807712,668904,686797,668885,621439,670242,53.86,,,,,,,,24,2,Sweeper,3,0,3,0,0,3,3,0,Infield shade,Standard,64.0,-0.005,-0.071,67.0,6.5,,0.071,90.3,3,3,0.867,0.867,30,36,30,36,2,1,6.0,2.0,,,3.94,-1.52,-1.52,28.1,-0.8816033751847395,12.008337027495186,28.531576689395237,40.7271937868002,22.588802758235143
FS,2026-04-01,87.6,-2.64,4.84,"Perez, Salvador",521692,657746,,foul,,,,,14,Foul,R,R,R,KC,MIN,S,,,0,0,2026,-1.37,0.32,1.05738659421429,1.1849072619001677,,686469.0,,0,3,Bot,,,,,,,11.732613895851234,-127.12912452767527,-3.1399422710244713,-17.199670208030092,24.91709853221777,-28.261315697048833,3.312155512,1.671555118,1.0,56.8,-53.0,88.0,2273.0,6.6,824136,680777,605170,807712,668904,686797,668885,621439,670242,53.9,,,,,,,,24,1,Split-Finger,3,0,3,0,0,3,3,0,Infield shade,Standard,242.0,-0.003,-0.043,63.5,8.3,,0.043,88.0,3,3,0.87,0.87,30,36,30,36,2,1,6.0,2.0,,,2.66,1.37,1.37,26.3,20.94000082013913,7.756974015557857,35.78431938814238,48.321998854310195,27.673375554145444
CU,2026-04-01,79.9,-0.98,6.37,"Perez, Salvador",521692,687849,force_out,hit_into_play,,,,,6,"Salvador Perez grounds into a force out, shortstop Brooks Lee to second baseman Luke Keaschall. Vinnie Pasquantino out at 2nd.",R,R,R,KC,MIN,X,6.0,ground_ball,0,1,2026,0.69,-1.45,0.4396985960161388,2.7477171023827873,,,686469.0,2,7,Bot,109.56,157.02,,,,,1.7403113441366556,-116.2492573907983,1.8737811811841056,5.7900862847239,26.051963368687264,-45.824908166762235,3.312155512,1.671555118,54.0,101.0,0.0,78.9,2727.0,6.1,824136,680777,605170,807712,668904,686797,668885,681546,670242,54.42,0.414,0.386,0.0,1.0,0.0,0.0,4.0,71,2,Curveball,13,4,13,4,4,13,13,4,Infield shade,Standard,49.0,0.0,-0.229,67.9,7.5,0.467,0.229,101.0,9,9,0.999,0.999,28,36,28,36,2,4,,2.0,,,5.08,-0.69,-0.69,55.8,11.062725458090815,4.794162975559075,30.976377815730743,41.84697143062786,27.76192733356949
