pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-28,94.0,-3.47,5.38,"Warren, Will",808982,701542,walk,ball,,,,,14,Jung Hoo Lee walks.,R,L,R,SF,NYY,B,,,3,2,2026,-0.89,1.35,0.9849647576312132,1.8364933890134791,,,,1,5,Bot,,,,,,,13.519549081995876,-136.14080917913137,-6.349229141378306,-13.899976722566096,27.368543383657823,-14.077896870659954,3.22351542,1.626820866,,,,95.1,2505.0,7.0,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.49,,0.700091,0.7,1.0,0.0,0.0,,40,7,4-Seam Fastball,1,3,1,3,3,1,1,3,Infield shade,Standard,229.0,0.031,0.339,,,,-0.339,,-2,-2,0.262,0.262,27,27,27,28,3,2,,1,,2,1.24,0.89,-0.89,26.8,,,,,
SI,2026-03-28,92.6,-3.24,5.73,"Warren, Will",808982,701542,,foul,,,,,1,Foul,R,L,R,SF,NYY,S,,,3,2,2026,-1.39,0.37,-0.6067280009003595,3.068747965862393,,,,1,5,Bot,,,,,,,9.757613797152494,-134.43315385912996,-1.5683755032469842,-18.985609824341704,30.11380127719592,-27.608615021324916,3.22351542,1.626820866,251.0,82.2,42.0,92.8,2413.0,6.6,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.88,,,,,,,,40,6,Sinker,1,3,1,3,3,1,1,3,Strategic,Standard,223.0,0.0,0.0,68.4,7.0,,0.0,88.0,-2,-2,0.262,0.262,27,27,27,28,3,2,,1,,2,2.31,1.39,-1.39,31.3,1.690995082933992,12.641882214510703,28.96148527332972,36.8510146530332,21.002277195001852
SI,2026-03-28,92.7,-3.5,5.57,"Warren, Will",808982,701542,,ball,,,,,11,Ball,R,L,R,SF,NYY,B,,,2,2,2026,-1.32,0.27,-1.270019907208803,2.878194725431973,,,,1,5,Bot,,,,,,,8.617218468668963,-134.76377503221815,-1.490869030803387,-17.951561521989817,29.726161062314127,-28.71533399448777,3.22351542,1.626820866,,,,93.3,2442.0,6.7,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.79,,,,,,,,40,5,Sinker,1,3,1,3,3,1,1,3,Strategic,Standard,235.0,0.008,0.104,,,,-0.104,,-2,-2,0.254,0.254,27,27,27,28,3,2,,1,,2,2.39,1.32,-1.32,28.2,,,,,
FF,2026-03-28,92.3,-3.52,5.64,"Warren, Will",808982,701542,,ball,,,,,11,Ball,R,L,R,SF,NYY,B,,,1,2,2026,-0.85,1.15,-1.0855100690253006,4.518026531145769,,,,1,5,Bot,,,,,,,8.05868604194956,-134.31767542755713,0.5252252564218147,-11.98079591504831,27.01065764209798,-18.501349194083694,3.22351542,1.626820866,,,,93.3,2294.0,6.7,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.79,,,,,,,,40,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,222.0,0.004,0.048,,,,-0.048,,-2,-2,0.25,0.25,27,27,27,28,3,2,,1,,2,1.51,0.85,-0.85,28.7,,,,,
FF,2026-03-28,92.5,-3.46,5.46,"Warren, Will",808982,701542,,foul,,,,,14,Foul,R,L,R,SF,NYY,S,,,1,1,2026,-0.75,1.24,0.9739120316769272,2.114759434072335,,,,1,5,Bot,,,,,,,12.872372581373032,-134.0847497355432,-5.301537508179488,-11.650094392331484,26.972562537860306,-16.144908526041807,3.22351542,1.626820866,198.0,71.4,49.0,93.2,2539.0,6.8,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.73,,,,,,,,40,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,223.0,-0.006,-0.064,74.3,8.6,,0.064,88.0,-2,-2,0.256,0.256,27,27,27,28,3,2,,1,,2,1.43,0.75,-0.75,29.2,36.767728098926824,-17.321303833454184,37.5731132108476,19.812342613703024,38.775976002818325
SI,2026-03-28,91.4,-3.61,5.49,"Warren, Will",808982,701542,,swinging_strike,,,,,13,Swinging Strike,R,L,R,SF,NYY,S,,,1,0,2026,-1.29,0.44,-1.2170859590364864,1.681875261633782,,,,1,5,Bot,,,,,,,8.828906363233918,-132.85025871102866,-4.457545247030892,-17.194262156523475,28.252122965567708,-26.22490875793773,3.22351542,1.626820866,,,,91.9,2394.0,6.6,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.87,,,,,,,,40,2,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,230.0,-0.005,-0.049,69.4,8.5,,0.049,,-2,-2,0.261,0.261,27,27,27,28,3,2,,1,,2,2.3,1.29,-1.29,27.9,11.495773657753707,-6.095185376064752,35.367739935870645,45.52325999704124,34.81259598698509
ST,2026-03-28,82.0,-3.59,5.69,"Warren, Will",808982,701542,,ball,,,,,11,Ball,R,L,R,SF,NYY,B,,,0,0,2026,0.97,0.39,-1.20094328175518,3.5908434244855596,,,,1,5,Bot,,,,,,,3.4330822052026746,-119.5067865240894,1.136817957917652,8.80570220428376,20.83281490696235,-28.78869285903065,3.22351542,1.626820866,,,,82.9,2765.0,6.6,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.9,,,,,,,,40,1,Sweeper,1,3,1,3,3,1,1,3,Standard,Standard,65.0,0.004,0.039,,,,-0.039,,-2,-2,0.257,0.257,27,27,27,28,3,2,,1,,2,2.96,-0.97,0.97,29.4,,,,,
SI,2026-03-28,93.7,-3.42,5.47,"Warren, Will",669477,701542,field_out,hit_into_play,,,,,8,"Casey Schmitt grounds out, shortstop José Caballero to first baseman Ben Rice.",R,R,R,SF,NYY,X,6.0,ground_ball,2,1,2026,-1.56,0.62,-0.2070098781036216,2.03122594864956,,,,0,5,Bot,115.32,150.67,,,,,11.820325534485852,-135.9575124196309,-4.387281614728917,-21.8854109671324,27.981412289764812,-23.660864833513585,3.196309055,1.613090551,59.0,103.7,2.0,94.8,2415.0,7.0,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.53,0.54,0.5,0.0,1.0,0.0,0.0,4.0,39,4,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,230.0,-0.037,-0.305,69.8,6.9,0.596,0.305,103.7,-2,-2,0.294,0.294,27,27,27,27,2,1,,1,,2,1.98,1.56,1.56,23.8,0.7621789033372459,7.711597816384932,40.05496175079836,29.69816163820093,24.65953379154972
FF,2026-03-28,93.1,-3.44,5.45,"Warren, Will",669477,701542,,foul,,,,,5,Foul,R,R,R,SF,NYY,S,,,2,0,2026,-0.78,1.35,0.0170919757388331,2.677640308393559,,,,0,5,Bot,,,,,,,10.546571370165756,-135.20033876633156,-4.196244427247258,-11.824503848636748,28.02621349909273,-14.800294704215268,3.196309055,1.613090551,,,,93.6,2549.0,6.6,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.92,,,,,,,,39,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,227.0,-0.011,-0.072,71.9,7.5,,0.072,,-2,-2,0.305,0.305,27,27,27,27,2,1,,1,,2,1.28,0.78,0.78,26.4,18.328457319122155,-15.609707315715845,35.845360556697536,30.39010340546296,34.470728510113645
SI,2026-03-28,92.6,-3.53,5.41,"Warren, Will",669477,701542,,ball,,,,,13,Ball,R,R,R,SF,NYY,B,,,1,0,2026,-1.4,0.52,-1.3565715853783529,2.217018661735863,,,,0,5,Bot,,,,,,,8.6334793615858,-134.57068606066713,-3.2933616818525184,-18.831330582013333,29.22703664215017,-25.36342086678487,3.196309055,1.613090551,,,,93.1,2350.0,6.7,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.85,,,,,,,,39,2,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,232.0,0.011,0.077,,,,-0.077,,-2,-2,0.294,0.294,27,27,27,27,2,1,,1,,2,2.15,1.4,1.4,25.2,,,,,
SI,2026-03-28,92.1,-3.35,5.52,"Warren, Will",669477,701542,,ball,,,,,14,Ball,R,R,R,SF,NYY,B,,,0,0,2026,-1.57,0.24,0.4051507180349722,1.1125343026219183,,,,0,5,Bot,,,,,,,12.8942537938187,-133.39333280980318,-5.574705810041817,-21.494343763646793,29.354952663430257,-28.250981762011747,3.196309055,1.613090551,,,,92.2,2289.0,6.7,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.82,,,,,,,,39,1,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,233.0,0.005,0.041,,,,-0.041,,-2,-2,0.289,0.289,27,27,27,27,2,1,,1,,2,2.48,1.57,1.57,26.5,,,,,
SI,2026-03-28,93.8,-3.38,5.69,"Warren, Will",672275,701542,grounded_into_double_play,hit_into_play,,,,,5,"Patrick Bailey grounds into a double play, first baseman Ben Rice to shortstop José Caballero to pitcher Will Warren. Harrison Bader out at 2nd. Patrick Bailey out at 1st.",R,L,R,SF,NYY,X,3.0,ground_ball,0,1,2026,-1.52,0.39,0.1955412687256117,2.4675204730162665,,,664056.0,1,4,Bot,142.69,174.49,,,,,12.648348791040457,-136.0142824133694,-3.2604351803788156,-21.61906662480656,29.963948260912375,-26.738912383503255,3.22351542,1.626820866,5.0,95.1,-25.0,94.5,2341.0,6.9,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.6,0.078,0.07,0.0,1.0,0.0,0.0,2.0,34,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,226.0,-0.064,-0.278,71.7,6.9,0.092,0.278,95.1,-1,-1,0.426,0.426,27,27,27,27,2,1,,1,,2,2.22,1.52,-1.52,28.4,2.759518474605856,-1.3986467339365514,34.37132920405335,36.18803007597559,22.346478972107697
FF,2026-03-28,93.0,-3.35,5.49,"Warren, Will",672275,701542,,swinging_strike,,,,,2,Swinging Strike,R,L,R,SF,NYY,S,,,0,0,2026,-0.86,1.2,-0.2705031143656637,2.9892256057299447,,,664056.0,1,4,Bot,,,,,,,9.770168372480612,-135.10753421732895,-3.127958420250427,-12.620455540628374,29.50323730651245,-16.944152263978005,3.22351542,1.626820866,,,,93.7,2498.0,6.8,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.69,,,,,,,,34,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,223.0,-0.006,-0.04,70.7,6.1,,0.04,,-1,-1,0.432,0.432,27,27,27,27,2,1,,1,,2,1.44,0.86,-0.86,29.7,-7.8730196423200285,22.469119141558412,36.34797493907427,40.15749186784976,5.087472750183225
SI,2026-03-28,93.7,-3.49,5.46,"Warren, Will",664056,701542,single,hit_into_play,,,,,5,Harrison Bader singles on a ground ball to left fielder Cody Bellinger.,R,R,R,SF,NYY,X,7.0,ground_ball,1,0,2026,-1.53,0.62,-0.2109579290174505,2.1017517889807618,,,,1,4,Bot,74.28,131.41,,,,,11.878307698012952,-135.86668613714366,-4.08670208918246,-21.637899389158992,30.493620555954156,-23.74866051086976,3.161204068,1.595374016,10.0,99.1,-12.0,94.2,2427.0,6.8,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.7,0.289,0.282,0.9,1.0,1.0,0.0,2.0,33,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,234.0,0.031,0.375,80.0,7.5,0.326,-0.375,99.1,-1,-1,0.401,0.401,27,32,27,32,2,1,,1,,2,2.0,1.53,1.53,24.4,18.346346240278542,-13.140946558274887,26.395952238130832,31.224310006265895,34.13810125392258
FF,2026-03-28,94.1,-3.39,5.49,"Warren, Will",664056,701542,,ball,,,,,12,Ball,R,R,R,SF,NYY,B,,,0,0,2026,-0.9,1.31,2.311031556778098,2.499521030984738,,,,1,4,Bot,,,,,,,16.73746665566978,-136.0376914950002,-4.78774194967902,-14.77560831976042,29.559964266109706,-14.926712257230546,3.161204068,1.595374016,,,,94.8,2506.0,7.1,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.44,,,,,,,,33,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,224.0,0.003,0.039,,,,-0.039,,-1,-1,0.398,0.398,27,32,27,32,2,1,,1,,2,1.3,0.9,0.9,27.6,,,,,
FF,2026-03-28,94.7,-3.49,5.41,"Warren, Will",642715,701542,field_out,hit_into_play,,,,,5,Willy Adames pops out to second baseman Jazz Chisholm Jr.,R,R,R,SF,NYY,X,4.0,popup,1,2,2026,-0.93,1.41,0.1617274339349399,2.407828505742814,,,,0,4,Bot,154.85,134.45,,,,,11.577874427904112,-137.34041137730924,-5.173579989723606,-14.386639036197868,30.49627033669741,-13.289476444504295,3.22351542,1.626820866,183.0,96.8,62.0,95.2,2586.0,6.7,823241,669224,700250,665862,641857,676609,641355,663757,592450,53.76,0.02,0.021,0.0,1.0,0.0,0.0,3.0,32,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,229.0,-0.021,-0.189,75.6,8.4,0.029,0.189,96.8,-1,-1,0.419,0.419,27,30,27,31,2,1,,1,,2,1.15,0.93,0.93,26.1,19.67485957853773,-9.072615507762643,36.99733099066504,37.50995978345973,31.195774528225012
