date,matchup,home_team,is_dome,temp_f,wind_mph,wind_dir,wind_score,humidity,pressure_hpa,park_factor,current_pct,physics_pct,park_pct,hrs_hit,total_batters,hr_rate
2026-03-29,CLE@SEA,SEA,False,,,,0.0,,,94.0,0.0,0.0,-6.0,1,18,0.05555555555555555
2026-03-30,MIN@KC,KC,False,,,,0.0,,,90.0,0.0,0.0,-10.0,3,18,0.16666666666666666
2026-03-30,TEX@BAL,BAL,False,,,,0.0,,,110.0,0.0,0.0,10.0,1,18,0.05555555555555555
2026-03-30,PIT@CIN,CIN,False,,,,0.0,,,116.0,0.0,0.0,16.0,0,18,0.0
2026-03-30,WSH@PHI,PHI,False,,,,0.0,,,115.0,0.0,0.0,15.0,1,18,0.05555555555555555
2026-03-30,CWS@MIA,MIA,False,,,,0.0,,,91.0,0.0,0.0,-9.0,3,18,0.16666666666666666
2026-03-30,COL@TOR,TOR,True,,,,0.0,,,109.0,0.0,0.0,9.0,4,18,0.2222222222222222
2026-03-30,ATH@ATL,ATL,False,,,,0.0,,,95.0,0.0,0.0,-5.0,0,18,0.0
2026-03-30,LAA@CHC,CHC,False,,,,0.0,,,95.0,0.0,0.0,-5.0,2,18,0.1111111111111111
2026-03-30,TB@MIL,MIL,False,,,,0.0,,,104.0,0.0,0.0,4.0,3,18,0.16666666666666666
2026-03-30,NYM@STL,STL,False,,,,0.0,,,78.0,0.0,0.0,-22.0,1,18,0.05555555555555555
2026-03-30,BOS@HOU,HOU,False,,,,0.0,,,112.0,0.0,0.0,12.0,3,18,0.16666666666666666
2026-03-30,SF@SD,SD,False,,,,0.0,,,100.0,0.0,0.0,0.0,2,18,0.1111111111111111
2026-03-30,NYY@SEA,SEA,False,,,,0.0,,,94.0,0.0,0.0,-6.0,0,18,0.0
2026-03-30,DET@AZ,AZ,False,,,,0.0,,,92.0,0.0,0.0,-8.0,2,18,0.1111111111111111
2026-03-30,CLE@LAD,LAD,False,,,,0.0,,,137.0,0.0,0.0,37.0,0,18,0.0
2026-03-31,TEX@BAL,BAL,False,,,,0.0,,,110.0,0.0,0.0,10.0,4,18,0.2222222222222222
2026-03-31,PIT@CIN,CIN,False,,,,0.0,,,116.0,0.0,0.0,16.0,5,18,0.2777777777777778
2026-03-31,WSH@PHI,PHI,False,,,,0.0,,,115.0,0.0,0.0,15.0,2,18,0.1111111111111111
2026-03-31,CWS@MIA,MIA,False,,,,0.0,,,91.0,0.0,0.0,-9.0,1,18,0.05555555555555555
2026-03-31,COL@TOR,TOR,True,,,,0.0,,,109.0,0.0,0.0,9.0,1,18,0.05555555555555555
2026-03-31,ATH@ATL,ATL,False,,,,0.0,,,95.0,0.0,0.0,-5.0,2,18,0.1111111111111111
2026-03-31,LAA@CHC,CHC,False,,,,0.0,,,95.0,0.0,0.0,-5.0,0,18,0.0
2026-03-31,TB@MIL,MIL,False,,,,0.0,,,104.0,0.0,0.0,4.0,4,18,0.2222222222222222
2026-03-31,NYM@STL,STL,False,,,,0.0,,,78.0,0.0,0.0,-22.0,1,18,0.05555555555555555
2026-03-31,BOS@HOU,HOU,False,,,,0.0,,,112.0,0.0,0.0,12.0,3,18,0.16666666666666666
2026-03-31,DET@AZ,AZ,False,,,,0.0,,,92.0,0.0,0.0,-8.0,1,18,0.05555555555555555
2026-03-31,SF@SD,SD,False,,,,0.0,,,100.0,0.0,0.0,0.0,2,18,0.1111111111111111
2026-03-31,NYY@SEA,SEA,False,,,,0.0,,,94.0,0.0,0.0,-6.0,0,18,0.0
2026-03-31,CLE@LAD,LAD,False,,,,0.0,,,137.0,0.0,0.0,37.0,1,18,0.05555555555555555
2026-04-01,ATH@ATL,ATL,False,,,,0.0,,,95.0,0.0,0.0,-5.0,1,18,0.05555555555555555
2026-04-01,TEX@BAL,BAL,False,,,,0.0,,,110.0,0.0,0.0,10.0,3,18,0.16666666666666666
2026-04-01,PIT@CIN,CIN,False,,,,0.0,,,116.0,0.0,0.0,16.0,2,18,0.1111111111111111
2026-04-01,WSH@PHI,PHI,False,,,,0.0,,,115.0,0.0,0.0,15.0,3,18,0.16666666666666666
2026-04-01,COL@TOR,TOR,True,,,,0.0,,,109.0,0.0,0.0,9.0,0,18,0.0
2026-04-01,CWS@MIA,MIA,False,,,,0.0,,,91.0,0.0,0.0,-9.0,2,18,0.1111111111111111
2026-04-01,NYM@STL,STL,False,,,,0.0,,,78.0,0.0,0.0,-22.0,1,18,0.05555555555555555
2026-04-01,TB@MIL,MIL,False,,,,0.0,,,104.0,0.0,0.0,4.0,2,18,0.1111111111111111
2026-04-01,BOS@HOU,HOU,False,,,,0.0,,,112.0,0.0,0.0,12.0,3,18,0.16666666666666666
2026-04-01,LAA@CHC,CHC,False,,,,0.0,,,95.0,0.0,0.0,-5.0,0,18,0.0
2026-04-01,DET@AZ,AZ,False,,,,0.0,,,92.0,0.0,0.0,-8.0,1,18,0.05555555555555555
2026-04-01,SF@SD,SD,False,,,,0.0,,,100.0,0.0,0.0,0.0,1,18,0.05555555555555555
2026-04-01,NYY@SEA,SEA,False,,,,0.0,,,94.0,0.0,0.0,-6.0,2,18,0.1111111111111111
2026-04-01,MIN@KC,KC,False,,,,0.0,,,90.0,0.0,0.0,-10.0,3,18,0.16666666666666666
2026-04-01,CLE@LAD,LAD,False,,,,0.0,,,137.0,0.0,0.0,37.0,3,18,0.16666666666666666
2026-04-02,MIN@KC,KC,False,,,,0.0,,,90.0,0.0,0.0,-10.0,3,18,0.16666666666666666
2026-04-02,ATL@AZ,AZ,False,,,,0.0,,,92.0,0.0,0.0,-8.0,4,18,0.2222222222222222
2026-04-02,NYM@SF,SF,False,,,,0.0,,,75.0,0.0,0.0,-25.0,2,18,0.1111111111111111
2026-04-03,LAD@WSH,WSH,False,,,,0.0,,,91.0,0.0,0.0,-9.0,7,18,0.3888888888888889
2026-04-03,STL@DET,DET,False,,,,0.0,,,102.0,0.0,0.0,2.0,1,18,0.05555555555555555
2026-04-03,MIA@NYY,NYY,False,,,,0.0,,,117.0,0.0,0.0,17.0,4,18,0.2222222222222222
2026-04-03,SD@BOS,BOS,False,,,,0.0,,,87.0,0.0,0.0,-13.0,2,18,0.1111111111111111
2026-04-03,TOR@CWS,CWS,False,,,,0.0,,,96.0,0.0,0.0,-4.0,1,18,0.05555555555555555
2026-04-03,CIN@TEX,TEX,False,,,,0.0,,,91.0,0.0,0.0,-9.0,3,18,0.16666666666666666
2026-04-03,CHC@CLE,CLE,False,,,,0.0,,,96.0,0.0,0.0,-4.0,2,18,0.1111111111111111
2026-04-03,TB@MIN,MIN,False,,,,0.0,,,100.0,0.0,0.0,0.0,1,18,0.05555555555555555
2026-04-03,PHI@COL,COL,False,,,,0.0,,,115.0,0.0,0.0,15.0,3,18,0.16666666666666666
2026-04-03,BAL@PIT,PIT,False,,,,0.0,,,66.0,0.0,0.0,-34.0,1,18,0.05555555555555555
2026-04-03,SEA@LAA,LAA,False,,,,0.0,,,111.0,0.0,0.0,11.0,0,18,0.0
2026-04-03,HOU@ATH,ATH,False,,,,0.0,,,100.0,0.0,0.0,0.0,1,18,0.05555555555555555
2026-04-03,ATL@AZ,AZ,False,,,,0.0,,,92.0,0.0,0.0,-8.0,2,18,0.1111111111111111
2026-04-03,NYM@SF,SF,False,,,,0.0,,,75.0,0.0,0.0,-25.0,2,18,0.1111111111111111
2026-04-04,STL@DET,DET,False,58.4,6.5,178,-3.9,90,993.1,102.0,-3.18,-7.3,2.0,4,18,0.2222222222222222
2026-04-04,TOR@CWS,CWS,False,48.1,15.1,255,13.7,91,989.8,96.0,15.23,29.08,-4.0,3,18,0.16666666666666666
2026-04-04,MIL@KC,KC,False,45.5,15.3,302,13.0,67,989.6,90.0,12.15,8.17,-10.0,2,9,0.2222222222222222
2026-04-04,LAD@WSH,WSH,False,87.8,11.0,193,8.8,33,1015.9,91.0,15.3,40.91,-9.0,2,18,0.1111111111111111
2026-04-04,HOU@ATH,ATH,False,,,,0.0,,,100.0,0.0,0.0,0.0,1,18,0.05555555555555555
2026-04-04,BAL@PIT,PIT,False,84.9,14.0,196,11.9,34,987.5,66.0,18.15,16.87,-34.0,0,22,0.0
2026-04-04,SD@BOS,BOS,False,42.3,14.9,66,-14.9,74,1027.1,87.0,-22.26,-43.48,-13.0,0,18,0.0
2026-04-04,CIN@TEX,TEX,False,62.2,12.5,1,0.0,71,1000.9,91.0,0.55,-22.07,-9.0,0,13,0.0
2026-04-04,MIA@NYY,NYY,False,49.7,13.6,90,-11.4,69,1022.7,117.0,-15.35,-37.15,17.0,1,26,0.038461538461538464
2026-04-04,MIL@KC,KC,False,49.8,16.8,312,12.5,52,989.5,90.0,12.92,4.17,-10.0,2,26,0.07692307692307693
2026-04-04,TB@MIN,MIN,False,35.8,13.8,309,3.1,86,981.4,100.0,-2.66,22.7,0.0,0,26,0.0
2026-04-04,CHC@CLE,CLE,False,76.3,15.4,208,13.7,55,984.9,96.0,17.73,50.82,-4.0,0,26,0.0
2026-04-04,ATL@AZ,AZ,False,91.3,1.6,304,0.0,5,973.0,92.0,5.79,28.29,-8.0,0,26,0.0
2026-04-04,PHI@COL,COL,False,61.4,5.2,59,-5.1,16,849.2,115.0,-6.12,51.46,15.0,0,26,0.0
2026-04-04,NYM@SF,SF,False,77.5,8.9,292,6.1,25,1015.3,75.0,8.97,29.06,-25.0,1,26,0.038461538461538464
2026-04-04,SEA@LAA,LAA,False,84.1,7.3,281,6.1,12,1008.2,111.0,10.95,27.58,11.0,1,26,0.038461538461538464
2026-04-05,CHC@CLE,CLE,False,42.1,14.4,264,12.6,67,990.3,96.0,10.31,1.63,-4.0,4,18,0.2222222222222222
2026-04-05,CHC@CLE,CLE,False,42.1,14.4,264,12.6,67,990.3,96.0,10.31,1.63,-4.0,4,18,0.2222222222222222
2026-04-05,LAD@WSH,WSH,False,62.3,4.4,210,4.1,90,1011.1,91.0,6.42,14.24,-9.0,5,18,0.2777777777777778
2026-04-05,BAL@PIT,PIT,False,48.1,13.3,256,11.7,63,986.6,66.0,11.43,26.66,-34.0,2,18,0.1111111111111111
2026-04-05,SD@BOS,BOS,False,46.8,4.6,259,4.5,96,1007.5,87.0,3.92,5.59,-13.0,2,18,0.1111111111111111
2026-04-05,MIA@NYY,NYY,False,51.4,1.1,143,-0.1,98,1008.9,117.0,0.34,-2.4,17.0,1,18,0.05555555555555555
2026-04-05,TB@MIN,MIN,False,50.9,11.1,279,7.6,45,991.9,100.0,7.48,28.04,0.0,3,18,0.16666666666666666
2026-04-05,TOR@CWS,CWS,False,47.3,11.5,291,5.6,52,1000.0,96.0,3.64,4.77,-4.0,0,18,0.0
2026-04-05,MIL@KC,KC,False,57.6,9.9,322,6.1,41,997.4,90.0,7.32,1.1,-10.0,2,18,0.1111111111111111
2026-04-05,CIN@TEX,TEX,False,68.4,13.5,36,0.0,32,1008.1,91.0,0.0,-24.2,-9.0,1,18,0.05555555555555555
2026-04-05,PHI@COL,COL,False,64.6,4.5,37,-3.8,21,852.9,115.0,-4.56,50.23,15.0,3,18,0.16666666666666666
2026-04-05,HOU@ATH,ATH,False,,,,0.0,,,100.0,0.0,0.0,0.0,4,18,0.2222222222222222
2026-04-05,NYM@SF,SF,False,77.7,3.1,60,-3.1,35,1015.0,75.0,-2.01,3.56,-25.0,0,18,0.0
2026-04-05,SEA@LAA,LAA,False,83.4,7.5,233,7.2,30,1010.0,111.0,12.06,32.05,11.0,0,9,0.0
2026-04-05,ATL@AZ,AZ,False,91.8,7.2,99,0.0,10,974.6,92.0,5.94,24.96,-8.0,1,18,0.05555555555555555
2026-04-05,STL@DET,DET,False,43.3,14.8,281,13.5,45,997.1,102.0,11.52,19.9,2.0,1,18,0.05555555555555555
2026-04-06,CHC@TB,TB,True,75.8,3.1,274,0.0,50,1012.1,95.0,0.0,0.0,-5.0,4,18,0.2222222222222222
2026-04-06,KC@CLE,CLE,False,49.2,14.5,268,12.2,50,994.2,96.0,12.32,1.75,-4.0,4,18,0.2222222222222222
2026-04-06,SD@PIT,PIT,False,53.0,13.1,256,11.6,48,991.3,66.0,13.12,27.48,-34.0,0,22,0.0
2026-04-06,CIN@MIA,MIA,False,78.0,8.3,104,2.0,74,1012.9,91.0,4.9,3.36,-9.0,1,18,0.05555555555555555
2026-04-06,STL@WSH,WSH,False,61.7,5.5,282,3.4,26,1018.4,91.0,4.08,3.43,-9.0,5,18,0.2777777777777778
2026-04-06,MIL@BOS,BOS,False,46.8,15.2,273,13.4,37,1015.3,87.0,12.8,18.31,-13.0,1,18,0.05555555555555555
2026-04-06,LAD@TOR,TOR,True,39.6,5.1,178,0.0,80,1008.4,109.0,0.0,0.0,9.0,4,22,0.18181818181818182
