Player,Opp Pitcher,P Hand,B Hand,Pitch Types,Wt Exit Velo,Wt Barrel%,Wt FB%,Wt Hard Hit%,P FB%,P HR/FB%,P HR/9,Batter Score,Pitcher Score,Composite,Over Odds,Over Book,Under Odds,Data Quality,Recent ABs,Pitch Detail,Env Score
Maikel Garcia,Taj Bradley,R,R,"FF, FC, CU",84.4,0.0,55.4,26.0,25.9,0.0,0.0,0.41,0.049,0.292,700,BetOnline.ag,,LOW_PITCHER_IP,"[{'date': '2026-04-01', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 70.2, 'angle': 30.0, 'distance': 215.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 82.2, 'angle': 38.0, 'distance': 289.0, 'result': 'field_out'}, {'date': '2026-03-30', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 106.8, 'angle': 11.0, 'distance': 186.0, 'result': 'double'}, {'date': '2026-03-30', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 67.6, 'angle': 64.0, 'distance': 142.0, 'result': 'nan'}, {'date': '2026-03-29', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 86.2, 'angle': -32.0, 'distance': 4.0, 'result': 'single'}, {'date': '2026-03-24', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 103.3, 'angle': -9.0, 'distance': 13.0, 'result': 'nan'}, {'date': '2026-02-22', 'pitcher_name': 'Garcia, Maikel', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 84.1, 'angle': 34.0, 'distance': 289.0, 'result': 'nan'}]","{'FF': {'usage_pct': 50.4, 'weight': 62.8, 'barrel_rate': 0.0, 'fb_rate': 66.7, 'hard_hit_rate': 33.3, 'avg_exit_velo': 86.4}, 'FC': {'usage_pct': 33.3, 'weight': 27.0, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 75.8}, 'CU': {'usage_pct': 16.3, 'weight': 10.2, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 50.0, 'avg_exit_velo': 94.8}}",0.465
Tristan Gray,Cole Ragans,L,L,"FF, SL",79.3,0.0,24.0,0.0,35.3,11.1,2.45,0.079,0.486,0.284,3900,BetOnline.ag,,LOW_PITCHER_IP,"[{'date': '2026-04-01', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 71.9, 'angle': 61.0, 'distance': 176.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 79.9, 'angle': 13.0, 'distance': 151.0, 'result': 'single'}, {'date': '2026-03-23', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 92.1, 'angle': 35.0, 'distance': 331.0, 'result': 'field_out'}, {'date': '2026-03-13', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 86.7, 'angle': 48.0, 'distance': 279.0, 'result': 'field_out'}, {'date': '2026-03-07', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 80.3, 'angle': 13.0, 'distance': 159.0, 'result': 'nan'}, {'date': '2026-03-07', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 77.1, 'angle': 77.0, 'distance': 117.0, 'result': 'nan'}, {'date': '2026-02-27', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 72.6, 'angle': 17.0, 'distance': 172.0, 'result': 'single'}, {'date': '2026-02-21', 'pitcher_name': 'Gray, Tristan', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 74.4, 'angle': 9.0, 'distance': 109.0, 'result': 'nan'}]","{'FF': {'usage_pct': 60.5, 'weight': 70.2, 'barrel_rate': 0.0, 'fb_rate': 20.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 79.2}, 'SL': {'usage_pct': 39.5, 'weight': 29.8, 'barrel_rate': 0.0, 'fb_rate': 33.3, 'hard_hit_rate': 0.0, 'avg_exit_velo': 79.7}}",0.495
Nolan Arenado,Reynaldo López,R,R,"FF, SL",85.8,0.0,35.3,17.6,31.6,8.0,1.42,0.221,0.273,0.282,600,BetOnline.ag,,OK,"[{'date': '2026-03-30', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 90.9, 'angle': 36.0, 'distance': 351.0, 'result': 'field_out'}, {'date': '2026-03-30', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 102.6, 'angle': 6.0, 'distance': 155.0, 'result': 'field_out'}, {'date': '2026-03-30', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 59.7, 'angle': -8.0, 'distance': 12.0, 'result': 'nan'}, {'date': '2026-03-28', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 85.1, 'angle': 49.0, 'distance': 251.0, 'result': 'field_out'}, {'date': '2026-03-28', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 82.4, 'angle': 82.0, 'distance': 99.0, 'result': 'nan'}, {'date': '2026-03-28', 'pitcher_name': 'Arenado, Nolan', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 90.6, 'angle': 22.0, 'distance': 309.0, 'result': 'field_out'}]","{'FF': {'usage_pct': 60.9, 'weight': 70.6, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 25.0, 'avg_exit_velo': 90.2}, 'SL': {'usage_pct': 39.1, 'weight': 29.4, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 75.2}}",0.505
Jordan Lawlar,Reynaldo López,R,R,"FF, SL",82.6,0.0,35.3,0.0,31.6,8.0,1.42,0.197,0.273,0.27,700,BetOnline.ag,,OK,"[{'date': '2026-04-01', 'pitcher_name': 'Lawlar, Jordan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 93.5, 'angle': 58.0, 'distance': 226.0, 'result': 'field_out'}, {'date': '2026-03-31', 'pitcher_name': 'Lawlar, Jordan', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 76.3, 'angle': 32.0, 'distance': 243.0, 'result': 'nan'}, {'date': '2026-03-31', 'pitcher_name': 'Lawlar, Jordan', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 83.2, 'angle': -24.0, 'distance': 5.0, 'result': 'nan'}, {'date': '2026-03-27', 'pitcher_name': 'Lawlar, Jordan', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 76.4, 'angle': 14.0, 'distance': 137.0, 'result': 'nan'}, {'date': '2026-03-27', 'pitcher_name': 'Lawlar, Jordan', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 71.9, 'angle': 17.0, 'distance': 128.0, 'result': 'nan'}]","{'FF': {'usage_pct': 60.9, 'weight': 70.6, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 84.9}, 'SL': {'usage_pct': 39.1, 'weight': 29.4, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 77.2}}",0.505
Isaac Collins,Taj Bradley,R,L,"FF, FS, CU, FC",79.2,0.0,31.4,5.2,31.8,9.5,1.46,0.144,0.309,0.254,700,BetOnline.ag,,LOW_SAMPLE,"[{'date': '2026-04-01', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 74.4, 'angle': 17.0, 'distance': 112.0, 'result': 'nan'}, {'date': '2026-03-30', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 94.6, 'angle': 49.0, 'distance': 280.0, 'result': 'field_out'}, {'date': '2026-03-30', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 71.6, 'angle': 23.0, 'distance': 163.0, 'result': 'nan'}, {'date': '2026-03-28', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 68.4, 'angle': -36.0, 'distance': 5.0, 'result': 'force_out'}, {'date': '2026-03-24', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 55.5, 'angle': 77.0, 'distance': 44.0, 'result': 'field_out'}, {'date': '2026-03-20', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 84.6, 'angle': 35.0, 'distance': 330.0, 'result': 'field_out'}, {'date': '2026-03-18', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 105.4, 'angle': -29.0, 'distance': 3.0, 'result': 'field_out'}, {'date': '2026-03-10', 'pitcher_name': 'Collins, Isaac', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 73.6, 'angle': 52.0, 'distance': 235.0, 'result': 'nan'}]","{'FF': {'usage_pct': 44.0, 'weight': 50.6, 'barrel_rate': 0.0, 'fb_rate': 33.3, 'hard_hit_rate': 0.0, 'avg_exit_velo': 80.2}, 'FS': {'usage_pct': 24.8, 'weight': 21.9, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 0.0}, 'CU': {'usage_pct': 17.4, 'weight': 15.4, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 76.5}, 'FC': {'usage_pct': 13.8, 'weight': 12.2, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 33.3, 'avg_exit_velo': 78.2}}",0.495
Austin Martin,Cole Ragans,L,R,"FF, CH",71.0,0.0,10.7,21.4,38.9,10.7,2.38,0.006,0.5,0.248,900,BetOnline.ag,,OK,"[{'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 98.2, 'angle': 16.0, 'distance': 257.0, 'result': 'field_out'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 81.5, 'angle': 53.0, 'distance': 266.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 82.7, 'angle': 61.0, 'distance': 179.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 70.0, 'angle': 39.0, 'distance': 33.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 99.7, 'angle': -3.0, 'distance': 31.0, 'result': 'single'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 73.6, 'angle': 56.0, 'distance': 200.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': 'Changeup', 'ev': 36.5, 'angle': -22.0, 'distance': 6.0, 'result': 'nan'}, {'date': '2026-03-30', 'pitcher_name': 'Martin, Austin', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 72.6, 'angle': 70.0, 'distance': 159.0, 'result': 'nan'}]","{'FF': {'usage_pct': 65.9, 'weight': 74.9, 'barrel_rate': 0.0, 'fb_rate': 14.3, 'hard_hit_rate': 28.6, 'avg_exit_velo': 82.6}, 'CH': {'usage_pct': 34.1, 'weight': 25.1, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 36.5}}",0.465
Bo Bichette,Robbie Ray,L,R,"FF, SL",77.0,0.0,46.0,0.0,35.8,4.2,0.73,0.271,0.167,0.244,700,BetOnline.ag,,OK,"[{'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 72.0, 'angle': 27.0, 'distance': 188.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 89.8, 'angle': 21.0, 'distance': 264.0, 'result': 'field_out'}, {'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 64.9, 'angle': -18.0, 'distance': 6.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 84.7, 'angle': 32.0, 'distance': 233.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 84.8, 'angle': 16.0, 'distance': 189.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 86.2, 'angle': 56.0, 'distance': 216.0, 'result': 'nan'}, {'date': '2026-03-28', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': 'Slider', 'ev': 93.6, 'angle': 44.0, 'distance': 289.0, 'result': 'field_out'}, {'date': '2026-03-26', 'pitcher_name': 'Bichette, Bo', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 77.7, 'angle': 14.0, 'distance': 167.0, 'result': 'nan'}]","{'FF': {'usage_pct': 67.5, 'weight': 76.1, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 74.8}, 'SL': {'usage_pct': 32.5, 'weight': 23.9, 'barrel_rate': 0.0, 'fb_rate': 33.3, 'hard_hit_rate': 0.0, 'avg_exit_velo': 84.0}}",0.333
Alek Thomas,Reynaldo López,R,L,"FF, CU, SL, CH",86.7,0.0,33.1,33.7,25.0,0.0,0.0,0.27,0.042,0.23,700,BetOnline.ag,,LOW_PITCHER_IP,"[{'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 69.4, 'angle': -32.0, 'distance': 6.0, 'result': 'force_out'}, {'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 73.1, 'angle': 20.0, 'distance': 178.0, 'result': 'nan'}, {'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 108.0, 'angle': -11.0, 'distance': 8.0, 'result': 'field_out'}, {'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 92.3, 'angle': 34.0, 'distance': 319.0, 'result': 'nan'}, {'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 89.2, 'angle': -28.0, 'distance': 4.0, 'result': 'nan'}, {'date': '2026-03-31', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 70.8, 'angle': 35.0, 'distance': 223.0, 'result': 'nan'}, {'date': '2026-03-30', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 70.0, 'angle': 33.0, 'distance': 221.0, 'result': 'nan'}, {'date': '2026-03-30', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Changeup', 'ev': 94.8, 'angle': 41.0, 'distance': 332.0, 'result': 'field_out'}, {'date': '2026-03-28', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 106.0, 'angle': 16.0, 'distance': 322.0, 'result': 'field_out'}, {'date': '2026-03-28', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Curveball', 'ev': 101.4, 'angle': 22.0, 'distance': 358.0, 'result': 'field_out'}, {'date': '2026-03-27', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Changeup', 'ev': 97.3, 'angle': 17.0, 'distance': 260.0, 'result': 'double'}, {'date': '2026-03-20', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 72.1, 'angle': 50.0, 'distance': 198.0, 'result': 'nan'}, {'date': '2026-03-20', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Slider', 'ev': 69.4, 'angle': -25.0, 'distance': 5.0, 'result': 'field_out'}, {'date': '2026-03-20', 'pitcher_name': 'Thomas, Alek', 'pitch_arm': 'R', 'pitch_type': 'Changeup', 'ev': 82.9, 'angle': 81.0, 'distance': 93.0, 'result': 'nan'}]","{'FF': {'usage_pct': 41.9, 'weight': 48.4, 'barrel_rate': 0.0, 'fb_rate': 40.0, 'hard_hit_rate': 20.0, 'avg_exit_velo': 82.6}, 'CU': {'usage_pct': 21.2, 'weight': 18.9, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 100.0, 'avg_exit_velo': 103.7}, 'SL': {'usage_pct': 19.4, 'weight': 17.2, 'barrel_rate': 0.0, 'fb_rate': 50.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 75.4}, 'CH': {'usage_pct': 17.5, 'weight': 15.5, 'barrel_rate': 0.0, 'fb_rate': 33.3, 'hard_hit_rate': 33.3, 'avg_exit_velo': 91.7}}",0.535
Harrison Bader,David Peterson,L,R,"FF, CH, SI",84.6,14.5,0.0,28.9,24.1,7.7,0.82,0.248,0.133,0.22,900,BetOnline.ag,,LOW_SAMPLE,"[{'date': '2026-04-01', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 92.2, 'angle': 15.0, 'distance': 207.0, 'result': 'single'}, {'date': '2026-03-25', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 70.0, 'angle': 63.0, 'distance': 147.0, 'result': 'field_out'}, {'date': '2026-03-12', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 88.5, 'angle': 88.0, 'distance': 16.0, 'result': 'field_out'}, {'date': '2026-02-23', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 70.7, 'angle': 22.0, 'distance': 192.0, 'result': 'single'}, {'date': '2026-02-22', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 108.2, 'angle': 15.0, 'distance': 274.0, 'result': 'single'}, {'date': '2026-02-21', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 101.2, 'angle': 24.0, 'distance': 363.0, 'result': 'double'}, {'date': '2026-02-21', 'pitcher_name': 'Bader, Harrison', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 60.9, 'angle': -32.0, 'distance': 4.0, 'result': 'field_out'}]","{'FF': {'usage_pct': 40.1, 'weight': 40.1, 'barrel_rate': 25.0, 'fb_rate': 0.0, 'hard_hit_rate': 50.0, 'avg_exit_velo': 87.5}, 'CH': {'usage_pct': 30.7, 'weight': 30.7, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 0.0}, 'SI': {'usage_pct': 29.2, 'weight': 29.2, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 80.5}}",0.333
Jac Caglianone,Taj Bradley,R,L,"FF, FS, CU, FC",82.7,0.0,19.9,19.9,31.8,9.5,1.46,0.063,0.309,0.214,550,Bovada,-1000.0,LOW_SAMPLE,"[{'date': '2026-04-01', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 76.8, 'angle': 10.0, 'distance': 123.0, 'result': 'nan'}, {'date': '2026-04-01', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 104.9, 'angle': 7.0, 'distance': 196.0, 'result': 'single'}, {'date': '2026-03-30', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': '4-Seam Fastball', 'ev': 70.1, 'angle': 35.0, 'distance': 176.0, 'result': 'nan'}, {'date': '2026-03-29', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': 'Split-Finger', 'ev': 70.8, 'angle': -50.0, 'distance': 1.0, 'result': 'field_out'}, {'date': '2026-03-01', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': 'Cutter', 'ev': 85.7, 'angle': 55.0, 'distance': 241.0, 'result': 'field_out'}, {'date': '2026-02-20', 'pitcher_name': 'Caglianone, Jac', 'pitch_arm': 'R', 'pitch_type': 'Split-Finger', 'ev': 85.5, 'angle': -3.0, 'distance': 27.0, 'result': 'single'}]","{'FF': {'usage_pct': 44.0, 'weight': 50.6, 'barrel_rate': 0.0, 'fb_rate': 33.3, 'hard_hit_rate': 33.3, 'avg_exit_velo': 83.9}, 'FS': {'usage_pct': 24.8, 'weight': 21.9, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 78.2}, 'CU': {'usage_pct': 17.4, 'weight': 15.4, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 0.0}, 'FC': {'usage_pct': 13.8, 'weight': 12.2, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 0.0, 'avg_exit_velo': 85.7}}",0.495
Matt Chapman,David Peterson,L,R,"FF, CH, SI",86.7,0.0,26.8,34.8,24.1,7.7,0.82,0.219,0.133,0.206,3400,BetOnline.ag,,OK,"[{'date': '2026-03-28', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 72.2, 'angle': 29.0, 'distance': 212.0, 'result': 'nan'}, {'date': '2026-03-28', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 108.4, 'angle': -12.0, 'distance': 7.0, 'result': 'field_out'}, {'date': '2026-03-25', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': 'Changeup', 'ev': 106.7, 'angle': 4.0, 'distance': 169.0, 'result': 'field_out'}, {'date': '2026-03-25', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': 'Changeup', 'ev': 70.6, 'angle': 11.0, 'distance': 115.0, 'result': 'nan'}, {'date': '2026-03-25', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 71.0, 'angle': 51.0, 'distance': 199.0, 'result': 'nan'}, {'date': '2026-03-20', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 71.2, 'angle': 58.0, 'distance': 208.0, 'result': 'nan'}, {'date': '2026-03-20', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': 'Sinker', 'ev': 111.8, 'angle': 6.0, 'distance': 167.0, 'result': 'field_out'}, {'date': '2026-03-15', 'pitcher_name': 'Chapman, Matt', 'pitch_arm': 'L', 'pitch_type': '4-Seam Fastball', 'ev': 89.5, 'angle': 30.0, 'distance': 326.0, 'result': 'double'}]","{'FF': {'usage_pct': 40.1, 'weight': 40.1, 'barrel_rate': 0.0, 'fb_rate': 66.7, 'hard_hit_rate': 0.0, 'avg_exit_velo': 77.6}, 'CH': {'usage_pct': 30.7, 'weight': 30.7, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 50.0, 'avg_exit_velo': 88.7}, 'SI': {'usage_pct': 29.2, 'weight': 29.2, 'barrel_rate': 0.0, 'fb_rate': 0.0, 'hard_hit_rate': 66.7, 'avg_exit_velo': 97.1}}",0.333
